32839328
/m/0h3xlc3
/m/0h3xlc3
Todd Burpo
2010-11-02

1 1
200000 1
2010 1
2011 1
3 1
30 1
a 1
about 1
after 1
also 1
and 3
angels 1
as 1
at 1
before 1
began 1
beside 1
bestseller 1
book 2
born 1
burpo 1
by 1
christian 1
claims 1
colton 3
copies 1
debuted 1
describing 1
died 1
during 1
emergency 1
events 1
example 1
examples 1
extrabiblical 1
for 2
grandfather 1
great 1
had 2
have 1
he 2
heaven 1
him 3
his 2
hit 1
impossible 1
in 3
include 1
its 1
january 1
jesus 2
lap 1
list 2
made 1
mary 1
met 1
miscarried 1
months 1
new 2
no 1
november 1
of 1
on 2
one 1
or 1
other 1
pastor 1
people 1
personally 1
print 1
release 1
sang 1
sat 1
saw 1
says 1
seemed 1
seen 1
sister 1
songs 1
standing 1
surgery 1
that 4
the 7
there 1
three 1
times 2
to 2
todd 1
told 1
virgin 1
was 1
weeks 1
were 1
while 1
who 2
within 1
years 1
york 2
