7483782
/m/02633wx
/m/02633wx
Ken Follett

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
172 1
180 1
200000 1
22 1
48 1
a 56
able 1
about 1
action 2
actually 1
adoption 1
afford 1
after 4
afterwards 1
age 1
airtight 1
alerting 1
alibi 1
all 3
almost 1
already 1
also 5
always 1
alzheimerafflicted 1
america 1
among 1
an 2
and 59
announce 1
apart 1
apartment 2
apparently 1
approached 1
approaches 1
approval 1
are 10
arguing 1
around 1
arrangements 1
arrested 3
arrival 1
arrives 1
arson 1
article 1
as 12
assaulted 1
assigned 1
associate 1
at 15
attacked 2
attempting 1
attempts 1
attended 1
attention 1
aventine 3
awards 1
away 1
back 3
bail 1
baltimore 3
barck 2
baseball 2
bathroom 1
be 7
bearing 1
beat 1
because 1
been 9
before 2
behavior 2
behavioral 2
being 1
believes 1
berrington 11
berry 2
best 1
better 1
binary 1
biological 1
bit 1
blackmailed 1
book 1
born 1
botched 1
both 2
break 1
bribes 1
bribing 1
brother 1
building 2
burglar 1
business 1
busy 1
but 9
by 18
called 1
calls 2
calmed 1
camp 1
campaign 1
can 4
cap 2
car 2
carried 1
carries 1
cause 1
cdrom 1
center 1
charles 1
charming 1
checks 1
children 1
choices 1
city 1
claim 1
classist 1
claud 1
clinic 3
cloned 1
code 1
col 3
college 1
combined 1
comes 2
committee 4
company 1
comparing 1
complications 1
complimented 1
composite 1
compromising 1
computers 1
conception 1
concerning 1
conclusion 1
conditions 2
conducting 1
conference 1
confess 1
confirming 1
confirms 3
confronts 1
conglomerate 1
considered 1
conspiracy 1
contact 1
contents 1
continue 1
conversation 1
convinced 1
convinces 1
corroborate 1
couples 1
course 1
courtesy 1
crash 1
creating 1
crimes 1
criminal 1
criminality 1
damage 1
damning 1
dassault 2
data 1
database 2
day 1
dead 1
deal 1
death 1
decide 1
define 1
delaware 3
dennis 6
dental 1
designed 1
despite 1
detected 1
difference 1
different 2
discipline 2
discover 1
discovering 1
discovers 1
disk 2
dismissed 1
display 1
displays 1
disposed 1
distinctive 1
diving 1
do 1
does 1
doesnt 1
down 4
dr 2
draw 1
drives 1
due 2
duo 1
during 2
early 1
ecgs 1
efforts 1
eight 2
emmy 1
end 1
enemy 1
engine 2
enough 1
entitled 1
epilogue 1
erikson 1
ethical 1
ethics 1
even 1
eventually 1
everlower 1
evidently 1
existence 2
explains 2
eyebrow 1
facial 1
fails 1
faith 1
falls 3
famed 1
family 1
far 1
farmoresympathetic 1
father 5
fatheranddaughter 1
fathers 1
fbi 1
ferrami 5
fertility 3
fertilization 1
fictional 1
fifteenyear 1
final 1
finally 1
finance 1
financial 1
find 2
finds 2
fingerprint 1
fingerprints 1
fire 3
fired 2
firm 1
first 2
fit 1
five 2
flames 1
flirted 1
floppy 2
fly 2
following 1
for 19
forefinger 1
fortunately 1
founded 1
founders 1
four 1
friend 2
from 7
fullblown 1
funding 1
further 3
furthermore 2
futures 1
genes 2
genetically 1
genetics 1
george 2
gets 1
given 1
goes 1
gone 1
good 1
great 1
gym 1
had 2
handsome 1
happened 1
harvey 11
has 19
have 3
having 1
he 30
head 1
heads 1
hearing 2
henry 2
her 30
hers 1
hide 1
him 8
himself 4
his 21
holding 1
home 2
homes 1
honeymoon 1
hope 1
hoped 1
hospital 2
hotel 1
hours 2
how 2
however 3
hoxton 3
hoxtonmdashthough 1
idea 1
identical 3
if 1
illegally 1
immediate 1
immediately 1
implanted 1
impossible 1
impresario 1
impulses 1
in 36
incarcerated 1
indeed 1
influence 1
inform 1
informs 1
initial 1
initiated 1
injoke 1
innocent 1
insists 1
instead 1
intend 1
interest 2
international 1
intervention 1
interviews 1
into 8
investigate 1
involvement 1
is 41
isolate 2
issues 1
it 8
its 2
jacket 1
jail 4
jean 1
jeannie 34
jfu 3
jim 2
joint 1
jones 8
joneses 1
june 1
just 4
key 1
king 2
know 1
knowledge 1
knows 1
labeled 1
landsmann 3
large 1
last 1
later 2
law 1
lawyer 2
least 1
leather 1
leave 1
liberates 1
life 1
like 2
line 1
lineup 1
linked 1
lisa 14
list 1
lives 1
locked 1
locks 1
logan 10
looks 1
loses 1
lt 3
lucrative 2
made 1
maid 1
make 2
makes 1
making 1
man 5
manage 1
manipulates 1
many 1
maryland 1
match 3
maurice 1
may 1
means 1
medical 1
meet 1
meets 2
members 1
michelle 1
might 2
military 2
million 1
mind 1
mistakes 1
months 1
more 1
morning 2
mother 2
motivation 1
mr 5
mrs 3
much 1
murder 2
murderous 1
murray 1
name 1
names 2
national 1
nationwide 1
neighbor 3
neighboring 1
new 4
newlyhired 1
newlypurchased 1
next 4
nightclub 1
nine 1
nixon 1
no 3
not 3
novel 3
now 1
number 1
nursing 1
obell 3
occupants 1
of 49
off 1
offender 1
offering 1
office 2
officers 1
often 1
oliver 3
on 9
one 6
only 4
opens 1
opportunist 1
opposed 1
or 1
other 3
out 8
owners 2
pamphlet 1
panic 1
paranoia 1
parents 5
part 1
party 1
patty 1
pennsylvania 1
pentagon 1
people 1
per 1
perpetrator 2
personality 1
pertaining 1
pete 2
philadelphia 5
phone 1
picks 1
pinker 7
pity 1
place 1
places 1
plan 1
planner 1
plans 1
player 1
plays 2
police 1
posing 1
position 2
possible 2
possibly 1
presentation 1
president 1
presidential 1
press 3
preston 2
pretends 1
prevent 1
printout 1
prison 1
process 2
professional 1
professor 2
progenitors 1
program 3
propositions 1
protecting 1
proust 5
provides 1
providing 1
provoked 1
psychology 1
psyd 1
purchase 2
quickly 1
quite 2
racist 1
rage 1
raised 1
ran 1
rape 3
raped 3
rapist 1
raw 1
reach 1
real 2
realize 1
realizes 2
recap 1
receives 1
recently 1
recruitment 2
red 2
released 2
remaining 1
representing 1
research 5
researcher 2
resource 1
rest 1
returns 1
revealed 1
reveals 1
risktaking 1
room 1
roughly 1
rumored 1
sadism 1
same 1
saves 1
scheme 1
school 1
scurry 1
search 4
secrets 2
security 3
seen 2
senator 1
send 1
sends 1
sentence 2
serial 1
serving 4
servitude 1
sets 1
setup 1
sex 1
sexual 1
shabby 1
shakes 1
she 24
shocked 1
shoppinglst 1
shortly 2
shows 1
shrieks 1
side 1
sight 1
since 1
sinking 1
sister 1
situation 3
six 1
skiing 1
smell 1
smoke 2
smoothing 1
smuggle 1
smuggles 1
so 2
socalled 1
sociopath 1
software 1
someone 1
son 2
sought 2
spare 1
sparks 1
spurred 1
staff 1
start 1
started 1
state 1
states 2
stattner 2
stay 1
steve 24
steven 8
still 3
stop 1
story 1
strained 1
straits 1
strangers 1
study 2
stunt 1
subdued 1
succeeds 1
successfully 3
suffers 1
sum 1
sundays 1
supersoldier 1
sure 1
surprised 1
suspect 1
suspected 1
system 1
taken 1
takes 2
talented 1
teenager 1
television 1
tell 1
tendencies 1
tennis 2
terror 1
thanks 1
that 22
the 91
their 5
them 3
then 4
there 4
these 1
they 8
things 1
third 2
this 3
though 4
three 2
threeplex 7
through 3
tic 2
time 3
timely 1
times 1
titular 1
to 48
tomorrow 1
torturous 1
total 2
tow 1
track 2
travels 1
treatments 3
troubles 1
turn 1
turns 2
twin 5
twins 3
two 4
ultimately 1
unaware 1
undress 1
unfortunately 1
unit 1
united 1
university 5
unknown 1
until 2
unwinding 1
up 6
upbringing 2
uploads 1
use 3
various 1
via 1
vindication 1
visit 1
visited 1
vitro 1
waiting 2
walks 1
was 10
wayne 3
wearing 1
weeks 1
well 1
were 2
what 3
when 8
where 1
which 6
while 3
who 11
whom 1
will 2
win 1
with 12
without 1
woman 1
wombs 1
word 1
would 1
xrays 1
year 1
years 2
york 2
young 1
