4661661
/m/0cf_b1
/m/0cf_b1
Robert Ludlum
1997-10-13
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 3
according 1
again 1
agate 1
ago 1
aka 2
an 1
and 2
another 1
are 3
as 2
ashes 1
baron 1
been 1
beowulf 1
boy 1
brandon 2
but 2
cameron 1
can 1
case 1
chaos 1
cia 2
circle 1
civilised 1
complot 1
dangerous 1
de 1
der 1
des 1
diabolical 1
enemy 1
enigmatic 1
events 1
field 1
figure 2
for 1
former 1
founder 1
frle 1
from 1
grandchild 1
group 1
guiderone 1
guillaume 1
has 1
hatching 1
have 1
he 1
help 1
himself 1
in 1
into 2
is 3
jan 1
julian 1
known 2
leader 1
legendary 1
legitimate 1
like 1
man 1
matareisen 1
matarese 4
matarse 1
materese 1
meer 1
more 1
named 1
nearly 2
new 2
of 5
officer 1
once 1
one 1
only 2
operative 1
phoenix 1
plot 1
plunge 1
power 1
pryce 1
recounted 1
regaining 1
retired 1
rising 1
scofield 2
seems 1
sent 1
shadowy 1
shepherd 1
son 1
stop 1
survived 1
the 15
their 1
them 1
they 1
this 1
time 1
to 3
together 1
total 1
twenty 2
van 1
who 1
with 2
world 1
years 2
