2477139
/m/07gr49
/m/07gr49
John Buchan, 1st Baron Tweedsmuir

{"/m/01jfsb": "Thriller"}
a 60
abduction 1
about 2
accomplished 1
accused 1
across 1
adamant 1
adela 6
advises 1
affects 1
after 5
again 6
agent 1
agrees 1
alive 1
all 3
alongside 1
also 3
amazed 1
an 11
and 94
angry 1
another 3
antique 1
anxiously 1
any 1
approaches 1
arbuthnot 2
archie 5
are 4
aristocratic 1
arms 1
around 2
arranges 2
arranging 1
arrives 1
arriving 1
arthur 1
as 4
aside 1
asked 1
asking 1
at 16
attempted 1
attend 1
attending 1
aunts 1
avail 1
avoid 1
await 1
awake 1
awakened 1
away 2
back 3
backs 1
bad 1
baffled 1
barn 1
bathe 1
be 8
bear 1
beat 1
beaten 1
beautiful 1
become 1
becomes 1
been 7
before 3
befriending 1
behind 1
being 3
bidding 1
bids 1
blind 2
boat 3
boss 2
both 1
bought 1
boy 5
brave 1
break 1
breaks 2
breda 4
briefly 2
briefs 1
bringing 1
britain 1
broken 2
brought 1
bullets 1
bullivant 2
bundle 1
bushes 1
but 20
butler 2
by 16
calling 1
can 1
cannot 1
captors 2
capture 1
celebration 1
chase 1
child 2
chimney 1
clearly 1
climbs 1
cling 1
close 2
closely 1
closer 2
club 8
come 1
comes 2
coming 1
complex 1
concerning 1
confidence 1
connects 2
continues 1
control 1
controlling 1
cool 2
correspondence 1
country 3
crags 1
crimes 1
criminal 1
cure 1
curiosity 1
dance 3
dancehall 1
dancers 1
dancing 1
dangerous 1
daughter 2
day 9
days 1
dead 1
death 1
deerstalking 1
demeaning 1
despite 2
dick 1
dining 1
dinner 1
disappeared 1
discovered 1
discovers 1
discreet 1
discusses 1
disfigure 1
disguised 1
disordered 1
distance 1
district 1
disturbed 1
do 1
doctor 3
does 1
doesnt 1
doggerel 1
door 1
dowdy 1
down 2
dr 1
drag 1
drawn 1
dreamlike 1
drew 1
dropping 1
drops 1
during 1
each 1
echoed 1
eden 4
elderly 1
elegant 1
elite 1
enemies 1
engineer 1
england 1
englishman 1
enters 2
europe 2
evening 1
events 1
exhausted 2
exhaustion 1
experience 1
experiences 1
expert 2
explains 1
explores 1
expose 1
extremely 1
eye 1
eyes 1
facade 1
faced 1
faints 1
falls 2
families 2
farm 2
father 1
featured 1
feed 1
feeling 1
fields 4
figure 1
find 3
finding 2
finds 3
first 1
fixes 1
flown 1
following 2
follows 2
for 14
forces 1
former 1
forward 1
fosse 2
fought 1
found 4
friend 6
frightening 1
from 14
front 1
gang 3
gaudian 7
german 2
gets 4
girl 6
gives 1
goes 1
great 1
greenmantle 1
greenslade 11
gun 1
had 4
hand 2
hands 1
handsome 1
hangs 1
hannay 40
has 10
have 7
having 3
he 59
head 5
heading 2
heads 6
heal 1
hear 1
hearing 1
hears 3
held 2
help 4
her 6
herr 1
highlands 1
hill 1
hills 1
him 17
himself 3
his 37
hold 1
holds 1
home 5
hospital 1
hostage 1
hostages 4
house 14
housebreaking 1
hummed 1
hurrying 1
hymn 2
hypnosis 1
hypnotise 1
hypnotised 3
hypnotism 1
hypnotized 1
ideas 1
identity 1
if 2
ill 2
impressive 1
in 28
including 1
indian 1
inn 1
inspired 1
instructs 1
into 5
introduced 1
investigate 2
invited 1
is 21
it 4
jew 1
job 1
john 1
join 1
joyous 1
julius 1
june 1
keeping 1
kharama 5
kidnapped 1
kidnappings 1
knowing 1
knows 3
lamington 1
larger 1
last 2
later 8
lavater 1
leaders 1
learn 2
learned 1
learns 7
leased 1
leaves 1
leaving 2
led 1
left 1
let 1
letter 1
library 1
lies 1
likes 1
lines 1
linked 1
liquidate 1
little 7
living 1
local 1
locals 1
lock 1
lodge 1
lodging 1
lodgings 1
london 5
long 2
looked 1
lord 1
loses 1
lost 1
lot 1
lowering 1
lowers 1
macgillivray 3
madame 4
made 1
maid 1
makes 2
man 6
manages 1
manor 1
many 1
married 1
mary 10
mass 1
masseuse 2
matched 1
may 1
medina 39
meet 4
meeting 4
meets 3
memories 1
mention 1
mentioned 2
mentioning 1
mercot 5
merdal 1
message 1
met 1
midsummer 1
mind 1
minds 1
missing 2
mistress 1
more 2
mother 1
moves 2
mr 1
much 1
music 1
must 2
mysterious 2
name 2
named 3
needs 1
neighbouring 1
never 1
new 1
newer 1
newhover 9
news 1
next 5
night 5
no 4
none 1
norway 4
not 2
note 1
now 1
odell 4
of 34
off 4
old 7
ominously 1
on 7
once 2
one 5
onehanded 1
only 3
onto 1
organisation 1
other 2
out 3
over 2
overland 1
overlooking 1
own 1
palmyra 1
paralysis 1
parthypnotised 1
people 1
persuade 1
peter 1
phrases 1
pilot 1
pipe 3
place 2
places 1
plans 6
planted 1
plays 1
pleading 1
pleasureresort 1
poem 4
police 3
pondering 2
postwar 1
powerful 1
prepares 1
pretence 1
prison 1
private 1
promising 1
prove 1
psychology 1
pub 1
quest 1
quiet 1
raise 1
reads 1
realising 1
recalls 1
recently 1
recognises 2
recovering 1
reference 1
referred 1
refers 1
refuses 2
remember 1
remembers 2
rendezvous 2
replaces 1
reports 1
request 1
rescues 1
researches 1
resisted 1
resists 1
rest 1
restful 1
restores 1
return 3
returns 2
revealed 1
reveals 3
revenge 1
richard 1
room 1
rope 2
round 1
rounded 1
roylance 6
rude 1
run 1
runs 1
rural 1
safe 4
said 1
same 1
sandy 12
saw 1
saying 2
says 1
scotland 1
scottish 1
scrambling 1
scrub 1
scrutiny 1
season 1
second 1
secret 1
secretary 1
secrets 1
seems 1
seen 2
sees 9
sending 1
sent 1
sets 2
shaken 1
shakes 1
share 1
she 3
shock 1
shop 3
shot 1
showdown 1
sickbed 1
sinister 2
sir 3
slips 1
small 1
society 1
some 4
somehow 2
someone 1
something 2
somewhat 2
son 3
soon 4
sound 1
soundly 1
speech 1
spell 2
spends 1
spinning 1
spotted 1
spy 1
square 1
staff 1
stalk 1
standfast 1
start 1
stay 1
stays 1
still 1
