728758
/m/0367dx
/m/0367dx
Garth Nix
2003
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
abhorsen 5
able 1
about 1
added 1
adding 1
after 2
again 1
against 2
all 1
allowed 1
also 4
an 2
ancelstierre 2
and 29
are 7
as 5
assassination 1
astarael 2
at 3
attempt 3
attempting 1
avatar 1
back 3
barely 1
be 1
become 1
becomes 1
before 1
begins 1
being 4
belgaer 2
bell 1
bells 3
besieged 1
best 1
bind 2
binders 1
binding 2
blow 2
bound 2
bright 4
but 1
by 8
charter 4
charters 1
chlorr 1
come 1
completing 1
confronted 1
control 1
corrupt 1
dark 1
dead 2
death 4
defeat 1
defeated 1
defeating 1
defeats 1
destroy 1
destroyed 1
destroyer 7
destruction 1
die 1
died 1
dies 1
disappears 1
disreputable 5
dog 6
during 1
dyrim 2
each 1
edge 1
eighth 2
ellimere 1
end 2
enough 1
enter 1
entities 1
entity 1
escape 2
eternal 1
eventually 1
evil 1
fights 1
figure 1
final 1
first 1
five 1
flee 1
for 4
force 1
forged 1
formed 1
free 2
freedom 1
frees 1
friend 2
friends 1
from 3
get 1
gives 3
gold 1
government 1
great 1
greater 1
had 1
hand 2
hands 1
has 1
have 2
hedge 2
hemisphere 1
hemispheres 1
her 6
herself 1
him 5
himself 1
his 1
holding 1
host 1
house 2
how 1
if 1
imprisoned 1
impulse 1
in 8
include 1
into 1
is 9
it 2
its 2
itself 1
join 1
joining 1
journey 2
kibeth 2
kill 1
king 2
kingdom 4
known 1
lake 1
learn 1
led 1
life 2
linger 1
lirael 11
lives 2
lost 1
made 2
magic 2
magical 1
main 1
make 1
many 1
mark 1
mask 1
meanwhile 1
member 1
mirror 1
mogget 1
more 1
mosrael 2
most 1
must 2
names 1
natures 1
necromancer 2
necromantic 1
nehima 1
new 1
nicholas 2
nick 2
ninth 1
not 1
novel 1
now 1
of 20
old 4
once 2
one 2
or 1
orannis 10
original 3
other 2
others 1
out 1
panpipes 1
parents 1
plans 2
power 1
powerful 1
powers 1
prepares 2
prince 1
probable 1
process 1
protection 1
question 1
ranna 2
readies 1
reason 1
rebinding 1
red 1
reenacting 1
refugees 2
rejoining 1
rembrancing 1
remnant 1
replace 1
resist 1
reveals 1
ryelle 1
sabriel 3
sameth 12
sanar 1
saraneth 2
save 3
saved 1
sayre 2
see 1
serves 1
sets 1
seven 8
she 4
shiner 3
shiners 1
shocks 1
shows 1
side 1
some 1
southerling 2
stop 3
strike 1
strong 1
successful 1
sword 1
takes 2
tells 1
that 5
the 70
their 1
these 2
they 5
this 2
though 1
thousands 1
through 2
thus 1
to 26
touchstone 3
travel 1
truly 1
trying 3
turn 1
under 1
unearthed 1
unexpectedly 1
use 1
used 1
uses 1
victims 1
voice 1
wall 1
was 2
were 1
where 1
whether 1
which 1
while 3
who 8
will 1
with 4
without 1
world 1
worlds 2
would 1
yrael 3
