4838673
/m/0cqbl_
/m/0cqbl_
Gillian Rubinstein
2006
a 12
abdicates 1
abdication 1
ability 1
able 1
abuse 1
age 1
akio 5
alliance 2
allied 1
along 1
also 1
an 5
and 35
animal 1
appearance 1
appeared 1
arai 2
are 5
armed 1
armies 1
army 1
as 6
assert 1
at 4
attempts 2
avoid 1
battle 2
be 3
because 2
becoming 1
been 1
before 1
behind 1
beliefs 1
believing 1
betrothing 1
beyond 1
birth 1
both 2
bowmanship 1
boy 1
breaks 1
bringing 1
brings 1
brother 2
burned 1
but 8
by 6
calls 1
can 1
cannot 1
capable 1
capital 1
capture 1
captured 2
cat 3
combined 1
come 1
comes 1
commit 1
commits 1
communicate 1
communicating 1
concerning 2
conquered 1
contest 1
control 2
controlling 1
coruler 1
countries 4
cursed 1
dangerous 1
daughter 2
daughters 1
dead 1
death 3
decide 1
defeat 1
departs 1
destroy 1
domain 1
dominated 1
eager 1
eight 1
eldest 1
emperor 3
end 1
enduring 1
engage 1
erratic 1
exiled 1
existence 1
exotic 1
explodes 1
eye 1
falls 1
family 1
favour 1
fear 1
feared 1
fight 1
finally 1
finds 1
flee 1
follows 1
for 3
forces 1
foreigners 1
free 1
freezes 1
frets 1
fulfilment 1
future 1
gaze 1
general 1
ghostmaster 1
gift 1
giraffe 1
gives 1
glory 1
go 1
goes 1
grabs 1
grandson 1
grave 1
great 1
grief 1
ground 1
guards 1
guiltridden 1
hana 4
hand 1
hands 2
has 4
haunting 1
have 2
he 6
heir 1
her 11
hideki 1
him 7
his 16
hisao 7
house 2
however 1
ignored 1
in 12
including 1
increasingly 1
indicated 1
infant 1
inherit 1
insanity 1
into 2
is 9
islands 1
it 4
kaede 4
kenji 3
kikuta 4
kill 1
killed 2
killer 1
killing 1
kills 1
kirin 2
knife 1
knowing 1
leading 1
leaving 1
life 1
likely 1
lines 1
live 2
lives 1
losses 1
loved 1
made 1
makes 1
many 1
maruyama 1
master 1
maya 8
miki 4
moment 1
mother 4
must 1
muto 1
name 1
negotiate 1
new 1
next 1
no 1
not 1
now 2
of 17
okapi 1
omen 1
on 5
only 4
opportunity 1
or 1
orders 2
other 2
otori 1
over 1
overcome 1
palms 1
parents 1
pistol 2
pleas 1
portuguese 1
possessed 1
powerless 1
prepares 1
prophecy 2
prosperous 1
pursues 1
puts 1
rather 1
realized 1
really 1
reason 1
rejects 1
request 1
rest 1
resulting 1
retinue 1
retires 1
retreats 1
return 1
reveals 1
rule 1
rulers 1
saga 5
sake 1
second 1
see 2
seen 2
sees 1
separated 1
she 7
shigeko 7
shoots 1
sides 1
slight 1
slips 2
son 5
sons 2
soon 3
soul 1
souls 1
spare 1
spares 1
spirit 4
struggles 1
suicide 2
superstitious 1
take 1
takeo 14
takeos 2
takes 2
taku 2
talents 3
teenage 1
temporary 1
terayama 2
than 1
that 2
the 48
their 7
them 2
there 1
they 2
threat 1
three 5
time 2
to 25
train 1
trained 1
travel 1
tribe 4
tries 1
twins 2
two 1
under 1
until 1
upon 2
vain 1
victor 1
vital 1
warlord 1
well 1
western 1
when 3
which 1
who 2
whose 1
wife 2
will 3
win 1
with 12
within 2
world 1
years 1
youngest 1
yuki 2
zenko 2
zenkos 1
