1851232
/m/060_3t
/m/060_3t
David Guterson
1994
142am 1
144 1
147 1
154 3
16 1
442nd 1
a 14
about 1
accuse 1
accused 1
after 1
against 1
agreed 1
all 1
also 1
alvin 1
american 1
an 2
ancestry 2
and 12
antijapanese 1
approached 2
are 4
arm 1
around 1
arrived 1
art 1
as 3
at 4
attack 2
back 1
battle 1
be 1
because 1
been 4
before 3
behind 1
between 1
bitter 1
bitterness 1
boat 1
body 1
buy 1
by 5
california 1
camp 1
camps 1
carl 15
case 2
chambers 2
channel 1
charges 1
children 1
climbed 1
close 1
closeknit 1
coast 1
collected 1
combat 1
comes 1
community 1
conclusion 1
conscience 1
contested 1
corona 1
coroner 1
corps 1
covering 1
cut 1
december 1
decided 1
decorated 1
deep 1
defense 1
despite 1
died 2
dismissed 1
disputed 1
down 1
due 1
during 2
editor 1
elderly 1
entire 1
erupted 1
etta 4
eventually 1
evidence 1
experienced 2
extremely 1
fallen 1
family 2
farm 2
father 1
feels 1
feud 1
fictional 1
field 2
fighting 1
fisherman 1
fishing 1
five 1
following 3
for 5
force 1
forced 1
forward 1
freighter 3
friends 1
from 2
further 1
grips 1
gudmondsson 1
had 6
harbor 2
hatred 1
hatsue 3
have 1
he 3
head 1
heart 1
heine 9
heines 1
held 1
her 1
his 8
hit 1
hooks 1
horace 1
hours 1
house 1
however 1
if 1
ii 2
imadas 1
in 14
including 1
information 1
innocent 1
interned 1
internment 1
into 1
involved 1
is 7
ishmael 4
island 2
islanders 1
japan 1
japanese 5
jr 2
jurgensen 3
just 1
kabuo 10
killing 1
knocked 1
land 6
lantern 1
last 1
leading 1
lighthouse 1
likely 1
lived 1
lost 1
love 1
lover 1
made 2
man 1
manzanar 1
marine 1
maritime 1
mast 2
midst 1
minutes 1
miyamoto 3
miyamotos 1
moran 1
mother 1
motivation 1
mr 1
murder 2
murdering 1
nels 1
net 1
new 1
newspaper 1
night 1
northern 1
occurs 1
of 15
old 1
ole 1
on 6
oneman 1
opposed 1
originally 1
over 1
overboard 1
own 1
owned 1
passed 1
payment 1
payments 1
pearl 2
period 1
personal 1
picked 1
piedro 2
plot 1
point 1
prejudice 1
presented 1
prosecution 1
prosecutor 1
puget 1
pulled 1
purchasing 1
racial 1
realizes 1
reasons 1
records 1
regimental 1
region 1
rejected 1
relocate 1
reneging 1
respected 1
returned 1
reveals 1
review 1
revolves 1
sale 2
san 2
sea 2
search 1
sell 1
sells 1
sense 1
sentiments 1
september 1
set 1
several 1
sheriff 1
snowstorm 1
sold 1
sound 1
spearheading 1
sr 4
ss 1
state 1
station 1
stopped 2
strawberries 1
strawberry 2
stroke 1
struggles 1
suffered 1
support 1
tarawa 1
team 1
tenyear 1
that 5
the 57
then 1
though 1
through 1
thrown 1
to 11
torn 1
towards 1
town 3
trapped 1
trial 4
truly 1
try 1
us 2
veteran 2
wake 2
war 5
was 5
washington 1
watch 2
waterdamaged 1
were 3
west 1
whaley 1
when 2
where 1
which 1
white 1
who 2
wife 1
with 2
witnesses 1
wondering 1
world 2
