11902569
/m/02rxd37
/m/02rxd37
Thomas Heywood


a 4
again 1
an 1
and 9
are 1
arrested 1
as 2
between 1
bewitched 1
bridles 1
brought 1
but 1
butler 1
by 4
cat 1
characters 1
children 1
codpiece 1
conventional 1
coven 2
cowed 1
daughter 1
depicted 1
determined 1
dialect 1
discovers 1
discovery 1
employers 1
even 1
extreme 1
family 2
father 1
freedom 1
generous 3
gentleman 1
get 1
greater 1
has 1
her 5
heywoodbrome 1
him 2
his 5
horse 1
hospitable 1
husband 1
impotent 1
in 6
instead 1
inverts 1
is 7
it 2
lancashire 1
lawrence 2
leader 1
life 1
lord 1
maid 1
main 1
maledominated 1
marry 1
mdash 1
miller 1
mistress 2
more 1
mother 1
named 1
night 1
nocturnal 1
norms 2
of 7
on 1
once 1
one 1
only 1
order 1
over 1
parnell 1
play 2
plot 1
prosecution 1
refuses 1
relationship 1
rendered 1
restored 1
rides 1
secret 1
seeks 1
seely 1
servants 2
shape 1
she 2
social 2
society 1
son 1
speak 1
subplot 1
subverted 1
sword 1
that 2
the 19
their 1
to 4
trial 1
until 1
upright 1
upset 1
usual 1
wedding 1
when 1
while 1
who 1
wife 2
witches 2
with 2
woman 1
wounds 1
