25525356
/m/09rtbwc
/m/09rtbwc
Karen Traviss

{"/m/06n90": "Science Fiction"}
501st 5
66 2
a 24
abilities 1
aboard 1
about 7
accelerated 1
acclerated 1
activities 1
actual 1
adopted 2
affected 1
after 4
against 2
age 1
aging 3
agonizing 1
all 5
allows 2
almost 1
along 1
also 3
alternative 1
altis 4
an 7
ancient 2
and 54
another 2
antijedi 1
antiviral 3
any 5
are 5
arligan 1
armor 1
around 3
artery 1
as 24
aside 1
attacked 1
attitude 1
avid 1
aware 1
back 3
bardan 2
battle 1
be 10
because 2
been 2
begun 1
being 2
beliefs 1
believed 1
believing 1
better 1
bigger 1
black 1
blaster 1
blood 1
book 1
borik 1
both 1
bring 1
brings 1
brother 1
brotherhood 1
brothers 1
brutally 1
bry 3
budding 1
but 6
by 14
came 1
can 1
case 1
caught 1
center 2
certain 1
challenged 1
change 1
charts 1
chasm 1
cheat 1
cherished 1
child 1
churning 1
citizens 2
clan 8
clanmates 1
clone 12
cloned 1
clones 9
closest 1
club 1
comes 1
comlinks 1
commandos 1
commandosthe 1
commits 1
communicate 1
compromise 3
compromised 1
corellian 1
corpse 1
create 1
created 1
creating 1
cult 1
cuyval 1
danger 1
dar 1
dark 1
darman 16
darth 2
days 1
dead 1
deal 4
death 3
decides 6
decimated 1
decision 1
declaration 1
deep 2
delta 1
deserted 1
deserters 2
developing 1
develops 1
did 1
dies 1
different 1
dirt 1
djinn 3
dna 1
done 1
down 8
dr 1
dred 1
during 1
either 1
emperor 6
empire 11
emptyhanded 1
end 1
engineered 1
ennen 3
entire 1
enwandungesterhazy 1
erased 1
especially 1
etain 2
even 2
ever 1
exterminated 1
extract 1
fallen 1
far 1
father 1
felt 1
fettfind 1
feuds 1
fi 1
fight 1
figures 2
finds 1
finest 1
first 2
flaws 1
fled 1
for 20
force 1
forced 1
forces 1
forceusers 3
former 1
free 1
from 11
fugitive 1
gains 1
galactic 3
galaxy 1
general 1
genetic 1
get 1
gets 1
gibad 3
gilamar 5
go 1
going 1
good 1
gracious 1
granted 2
great 2
grieving 1
ha 6
had 1
halt 1
hand 5
handle 1
hands 1
happen 1
happens 2
has 8
hated 1
hatred 3
have 8
having 1
he 13
head 1
healed 1
helmets 1
herself 1
him 2
himself 2
his 20
homeplanet 1
how 2
however 1
hunt 5
hunting 3
if 4
immune 1
imperial 6
imperials 2
in 20
including 3
incorporate 1
information 1
initially 1
injury 1
inner 2
installed 1
instead 1
intact 1
intel 1
intelligence 1
interrogated 1
into 3
introduced 1
involved 1
is 21
it 4
its 1
jaing 2
jango 1
jedi 25
join 1
judgement 1
jusik 7
just 3
kad 7
kal 2
kamino 2
kaminoan 1
kaminoans 2
keeping 1
keldabe 2
kill 4
killed 3
kills 2
kina 6
knights 1
knowledge 1
knows 1
late 1
lead 1
left 1
leg 1
legion 5
likely 1
location 2
logic 1
longer 1
looking 1
lord 1
loss 1
love 1
loyal 1
loyalties 1
loyalty 1
make 1
manages 1
mandalore 8
mandalorian 3
many 1
master 2
masters 1
material 1
maverick 1
may 1
