16059037
/m/03qmxlc
/m/03qmxlc
Jessica Hagedorn
1990-03
a 12
actions 1
activist 1
actor 1
actresses 1
alacran 2
alacrans 1
also 1
amongst 1
and 21
annual 1
another 1
are 4
as 3
aspiring 1
assassination 3
at 1
authority 1
avila 6
banker 1
be 1
beauty 1
becomes 1
been 2
begins 1
beliefs 1
between 2
bodies 1
book 2
but 2
by 1
camp 1
cement 1
center 1
challenging 1
character 1
characters 4
classes 1
club 1
collapse 1
construction 2
continuation 1
contrast 1
convinces 1
country 2
cultural 1
daisy 2
daughter 1
day 1
denounces 1
depressed 1
descriptions 1
despite 1
dictator 1
different 1
director 1
disparity 1
dj 1
dogeaters 1
domingo 2
drugs 2
during 1
ends 1
enters 1
escaped 1
escaping 1
events 1
explaining 1
exploitation 1
explores 1
families 1
family 3
festival 3
filipino 2
filipinos 1
film 3
first 1
follows 1
for 5
foreign 1
framed 1
from 1
gamboa 1
gay 1
general 1
german 1
gets 1
glamorous 1
gonzaga 2
gonzagas 1
great 1
has 2
have 1
he 2
her 6
him 1
his 4
home 1
hopes 1
however 1
human 1
important 1
in 5
including 2
instead 2
international 1
intertwines 1
into 2
introduced 1
introductions 1
involved 1
is 3
isabel 1
it 1
joey 4
kills 1
lady 1
last 1
later 1
ledesma 1
leftist 1
leftists 1
lengthy 1
life 1
lives 2
local 1
lolita 1
luna 1
malcolm 1
male 1
manila 1
many 2
meanwhile 1
meets 1
members 2
men 1
military 1
miss 1
money 1
mother 1
mountains 1
narrates 1
narrator 3
not 1
novel 1
of 15
on 1
orders 1
other 1
over 1
pageant 3
person 1
philippines 2
plays 1
political 1
poorer 1
portrays 1
poured 1
prostitute 1
publicly 1
rainer 2
raped 1
rebel 1
rejoicing 1
relationship 3
rest 1
result 1
resulting 1
revealed 1
rights 1
rio 2
role 1
romeo 2
rosales 1
rules 1
sands 1
santos 2
senator 4
series 1
several 1
severo 1
sexual 1
she 2
sister 1
society 1
spiraling 1
stay 1
steals 1
stories 3
story 1
such 2
that 2
the 37
then 2
there 2
these 1
third 1
through 2
tirador 1
to 3
tortured 1
trap 1
trinidad 1
tumultuous 1
turmoil 1
up 1
upperclass 1
victory 1
violence 1
visiting 1
wealthy 1
webb 1
week 1
who 1
wife 1
wins 1
with 5
withdraws 1
witnesses 1
workers 1
young 1
