5732050
/m/02p9pw7
/m/02p9pw7
Iain Banks
2008-02
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
200 1
4 1
4000 1
8th 1
a 25
absence 1
accompanied 2
accounts 1
activate 1
advanced 2
aeranothaurs 1
after 3
afterwards 1
age 1
aiming 1
all 3
almost 1
also 1
an 7
anaplian 9
ancient 1
and 19
another 3
antimatter 2
approach 1
approximately 1
are 9
armor 1
artificial 1
as 7
asks 1
assassinations 1
attack 1
author 1
avatoid 1
avatoids 1
away 3
back 1
backed 1
backing 1
backup 2
be 6
become 2
becomes 1
been 4
before 5
begins 1
begun 1
being 1
belongings 1
beneath 1
beyond 1
body 2
book 1
botched 1
both 1
brother 1
built 1
buried 1
but 10
by 14
call 1
called 3
can 1
carried 1
channels 1
child 1
choubris 1
circumstances 3
city 4
civilization 1
claim 1
clear 2
close 1
collapsing 1
combat 3
come 1
comes 2
compatriots 1
complete 1
completely 1
concentric 1
confrontation 1
conscious 1
considered 1
consisting 1
constrained 1
constructed 1
continued 1
core 5
could 2
count 1
creature 1
critically 1
crowned 1
culture 4
currently 1
damage 1
dead 3
death 1
decides 1
declares 1
deep 1
defeats 1
defenses 1
deliberately 1
depleted 1
descended 1
descent 1
despite 1
destroy 1
destroyed 1
destruction 3
detonate 1
dies 1
dildo 1
dimensional 1
direct 1
disabled 1
disappearance 1
disappearing 1
disarmed 1
discovery 1
disguised 1
disposes 1
djan 2
drone 2
drones 3
during 1
earlier 1
either 1
eliminating 1
elsewhere 1
emplaced 1
en 1
encounter 1
end 1
enhanced 2
enhancements 1
enough 1
entire 1
entity 1
epilogue 1
equipped 2
events 3
evidently 1
excavating 2
excavations 1
existence 1
experiences 1
explosion 1
exterminating 1
fact 1
faith 1
faithful 1
family 1
fateful 1
father 3
fearsome 1
ferbin 7
fifteen 1
final 2
flee 1
fleeing 1
foiled 1
follows 1
for 5
fourteen 1
from 6
fully 1
giant 1
god 1
grain 1
group 1
guard 2
guarded 1
had 4
harmful 1
has 4
hausk 2
have 5
having 1
he 2
head 1
heading 1
heir 1
her 14
hidden 1
highly 1
himself 1
hippinse 3
his 6
hollow 1
holse 4
home 2
horrible 1
household 1
however 1
human 2
humanoid 1
humans 1
hundred 1
hundreds 1
hyengzhar 1
if 2
iln 11
immediately 1
in 12
including 1
increasingly 2
independentlyminded 1
indicate 1
indistinguishable 1
infer 1
influence 2
inhabitants 1
inhabited 2
initially 1
insurance 1
intelligence 1
intention 2
internally 1
investigate 1
involucra 1
irritable 1
is 13
it 1
its 3
itself 1
joins 1
killed 2
kills 1
king 4
klatsli 1
knifemissile 1
know 1
known 3
last 1
late 1
later 1
latter 1
layers 1
leader 1
learns 1
leaving 1
left 1
level 7
like 1
likely 1
limiting 1
lit 1
liveware 3
living 1
loesp 5
lone 1
long 2
longdead 1
lost 1
machine 1
many 1
matter 1
may 2
mean 1
meanwhile 1
mechanisms 1
meets 1
member 2
members 1
memories 1
mentored 1
mentoring 2
metropolis 1
mia 1
million 1
mindcopy 1
more 3
morthanveld 4
most 3
move 1
murder 2
mysterious 2
name 1
nameless 3
nariscene 1
nature 2
neither 1
nested 1
nonsc 1
not 6
oct 5
of 53
on 6
one 6
only 1
open 1
optimae 2
or 3
oramen 4
organization 1
organizing 1
originally 2
other 3
out 2
outgunned 1
outright 1
over 1
parent 1
part 1
pawns 1
pay 1
permits 1
picture 1
planet 2
planning 1
point 1
political 1
possibly 1
post 1
power 1
present 1
presumed 1
previously 1
primary 1
prince 1
probably 1
problem 3
programming 1
progressively 1
proper 1
prove 1
provides 1
purpose 1
quike 2
race 3
races 2
radiation 1
randomly 1
rather 2
realize 1
reasonably 1
recent 1
recently 1
recolonized 1
regent 1
rejoins 1
reluctance 1
remaining 2
remains 2
remember 1
reputation 1
resides 1
resources 1
respects 1
responsible 1
restore 1
restored 1
retrospectively 1
return 1
returning 1
revived 1
role 1
route 1
royal 1
sacrifice 2
sacrifices 1
sarl 7
satisfies 1
saves 1
sc 5
sctechnology 1
searching 1
secondincommand 1
secret 1
secretly 1
sediment 1
seriously 1
seriy 1
servant 1
several 4
she 6
shellwords 1
shellworld 6
shellworlds 4
ship 4
shortly 1
shredded 1
sickness 1
similarly 1
simply 1
skull 1
something 2
sophisticated 1
special 3
species 2
sphere 2
spheres 1
stars 1
stop 1
stows 1
stripped 1
strong 1
struggle 1
studious 1
substantial 1
successfully 1
such 2
suicide 1
suits 1
supposedly 1
surprise 1
sursamen 10
survival 1
survived 1
survivor 1
taken 2
takeover 1
takes 2
team 2
tensile 1
th 2
than 1
that 9
the 96
their 3
them 2
then 1
thermonuclear 2
they 6
this 1
though 2
thought 1
thousands 2
three 1
throne 1
thus 1
tiny 2
to 22
too 2
towards 2
treachery 1
trusts 1
tunnel 1
turminder 2
turns 1
twelve 1
two 2
tyl 5
ultimately 1
unaware 1
uncovered 1
under 1
undercover 1
unknown 1
until 1
up 3
uptodate 1
useful 1
uses 1
using 2
validated 1
vanished 1
various 1
veil 2
wakes 1
wanted 1
warned 1
was 4
waterfalls 1
way 1
weapons 1
well 1
were 3
what 1
when 1
where 1
which 2
who 4
whom 3
whose 3
will 1
with 8
witnessing 1
workers 1
world 2
worship 1
would 3
wounds 1
xinthian 1
xuss 5
years 2
younger 1
