22680525
/m/05zr4kk
/m/05zr4kk
David Rees
1978
{"/m/098tmk": "War novel", "/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
a 8
able 1
accidentally 1
adult 1
after 1
afterwards 1
air 2
all 3
allclear 1
also 1
although 2
an 3
ancestors 1
and 22
are 5
arrangements 1
arrive 1
as 2
asleep 1
at 12
back 1
badly 1
been 4
before 1
beginning 1
being 1
beloved 1
bomb 2
bombardment 1
bombed 1
bombing 1
books 1
boyfriend 1
brings 1
brought 1
but 2
by 5
camp 1
carved 1
cathedral 4
centre 1
check 1
cinema 1
city 2
clear 2
climbs 2
closer 1
cockney 1
colin 12
collection 1
common 1
cook 1
crawl 1
damage 1
danger 1
daughter 1
day 2
decide 1
decides 2
depressed 1
describing 1
despite 1
destroyed 1
destroying 1
devastating 1
do 1
down 2
during 2
duties 1
efforts 1
enjoys 1
escapes 1
evening 1
exeter 1
experience 1
extensive 1
fallen 1
falls 1
family 1
fare 1
fascinated 1
fashion 1
father 1
fields 1
find 1
finds 1
fire 1
firefighting 1
first 1
fish 2
fit 1
food 1
for 7
free 1
from 3
frozen 1
get 1
gets 2
giggles 1
glowing 1
go 1
half 1
hand 1
has 6
haunted 1
have 1
he 9
her 5
him 1
his 15
history 2
hit 2
hits 1
home 5
homework 2
hospital 2
house 2
immediately 1
impressed 1
in 8
independent 1
injured 1
injuries 1
inscription 1
instead 1
invites 1
irritates 1
is 12
it 4
jacket 2
join 1
june 2
killed 1
kitchen 2
kitchens 1
knowing 1
largely 1
lars 2
later 1
leave 1
leaves 1
lesson 1
life 1
lift 1
listens 1
lockwood 6
lull 1
machinegun 1
makes 1
mary 5
meets 1
members 1
misses 1
morale 1
more 1
mother 4
mourns 1
mr 5
mrs 4
narrowly 1
nearest 1
neighbours 1
new 3
next 1
night 1
nimrod 2
nolonger 1
not 2
notes 1
novel 1
nurse 1
odds 1
of 8
older 1
on 3
one 1
opens 1
other 1
out 3
outright 1
overwhelmed 1
paralyzed 1
party 1
people 1
phase 1
planes 1
pocket 1
point 1
power 1
praise 1
provide 1
provoking 1
quite 1
raid 2
raising 1
realizes 1
recovers 1
recruits 1
retrieve 1
roof 1
rubble 1
runs 1
sarcasm 1
school 1
schoolmate 1
see 1
seen 1
sees 2
sent 1
she 1
shelter 4
sherry 1
shop 3
show 1
sirens 1
sister 1
sleep 1
snacks 1
so 2
some 2
soon 1
sounds 2
south 1
spared 1
speaker 1
stairs 1
start 2
station 1
steps 1
street 1
surprised 1
teacher 1
terms 1
terry 3
that 2
the 48
their 3
them 1
there 1
they 6
this 1
thrilled 1
through 1
time 1
to 18
top 1
tower 2
toys 1
trapped 1
unconscious 1
under 1
until 2
unusually 1
up 1
use 1
view 1
wait 1
wants 1
way 1
well 1
when 6
where 1
who 1
wife 1
wimbleball 2
win 1
with 1
work 1
working 1
younger 1
