42609
/m/0bp_r
/m/0bp_r
Jules Verne

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
1 1
13 2
1872 2
2 1
2000 1
20000 2
21 1
22 1
3 1
30 1
40000 1
45 1
50 1
6 1
7 3
80 4
845 1
a 46
about 4
accepts 2
accompanied 1
acquainted 1
across 7
action 1
actual 1
actually 1
after 5
again 3
against 1
ahead 1
all 2
allahabad 2
along 1
also 2
alternative 1
america 1
american 1
amount 1
an 5
and 35
answer 1
aouda 8
apologises 1
are 2
argument 1
around 6
arrest 1
arrested 1
arrests 1
arrive 1
arrived 1
arrives 1
article 2
as 8
asks 1
assured 1
at 13
atlantic 3
attacked 1
away 1
bachelor 1
back 3
bag 1
bail 1
bank 4
banknotesabout 1
be 5
because 3
becomes 2
been 4
before 1
believe 1
believing 1
bison 1
board 4
boat 5
bombay 5
book 1
bordeaux 2
bradshaw 1
brahmins 1
bribes 1
bridge 1
bringing 2
britain 1
british 3
burlington 1
burn 1
burned 1
but 5
buys 2
by 11
calcutta 5
calls 1
can 3
cannot 2
captain 2
care 1
carpet 1
carriages 1
carried 4
carries 1
catch 3
caught 1
ceremony 1
chance 1
china 5
circus 1
city 1
classwikitable 1
cleared 1
cloak 1
club 6
cobh 1
colspan2total 1
come 1
companion 1
companions 1
company 1
complete 1
confesses 1
confides 1
connection 1
consents 1
contains 1
continental 1
continue 1
conveying 1
convinced 2
countenance 1
course 1
crew 2
criminal 1
crossing 4
daily 3
date 2
day 5
days 16
deadline 1
deceased 1
december 1
decide 2
delay 1
delighted 1
den 1
departing 1
departure 2
depended 1
described 1
description 1
despite 1
destined 1
detective 1
did 1
disastrously 1
discovers 1
disembarking 1
dismissed 1
dispatched 1
disposed 1
distant 1
dizziness 1
dock 1
does 1
drugged 1
drugs 1
drunk 1
dublin 1
due 2
during 3
each 1
earlier 3
early 1
earn 1
east 2
edinburgh 1
egypt 2
elephant 1
encountering 1
ends 1
engineer 1
english 2
equal 3
europe 1
failing 1
falls 1
fare 1
fast 1
fellow 1
few 1
finally 1
financially 1
find 1
finds 2
five 1
fix 13
fogg 29
follow 2
following 1
for 14
forced 1
former 1
foster 1
four 1
francisco 4
frenchman 1
from 9
fuel 1
full 2
funeral 1
further 1
gained 1
gaining 1
gardens 1
general 1
gentleman 1
get 2
gets 3
getting 1
gladly 1
globe 1
go 1
goes 2
going 4
ground 1
guide 2
guineas 1
habits 1
had 3
halfway 1
happens 1
has 9
hasten 1
have 1
having 3
he 29
help 1
hemp 1
her 6
herd 1
heroically 1
high 1
him 11
himself 1
hired 1
hires 2
his 14
holland 1
homeward 1
hong 6
house 1
however 5
huge 1
hurricane 1
hurries 1
husband 1
if 3
immediately 2
impulse 1
in 35
incident 1
india 4
indian 2
indians 1
inform 1
informing 1
instead 1
international 1
involved 1
ireland 1
is 23
it 3
james 1
japan 1
jean 1
journey 4
jump 1
just 1
keep 1
kholby 1
kidnapped 1
kingdom 1
known 1
kolkata 1
kong 6
landing 1
large 1
last 1
late 1
later 3
learns 2
leave 1
leaves 1
led 1
left 2
less 1
life 2
line 1
little 1
live 1
liverpool 3
lives 1
living 1
locomotive 1
london 8
longer 1
looking 1
lost 2
loves 1
mackintosh 1
makes 1
manages 1
marries 1
marry 1
massive 1
master 2
mathematical 1
may 1
meanwhile 1
mediterranean 1
meet 1
member 1
members 1
miles 1
minimize 1
minutes 2
missed 3
missionary 1
mistaken 1
mistakes 1
misunderstanding 1
modest 1
moment 1
money 1
monsieur 1
mormon 1
morning 1
most 1
moved 1
mr 3
mumbai 1
mutiny 1
name 1
named 1
neglects 1
new 6
newspaper 1
next 6
no 2
north 1
not 4
notice 1
notify 1
now 3
number 2
obstacles 1
obviously 1
ocean 5
october 2
of 29
off 2
often 1
old 1
omaha 1
on 21
once 2
only 4
opening 1
opium 2
original 1
other 1
out 3
over 2
overcome 1
own 1
pacific 3
pair 1
pairs 1
parts 1
party 1
passenger 1
passepartout 19
per 1
phase 1
phileas 1
pilot 1
place 1
planning 1
pm 1
possible 2
poverty 1
powered 1
prairie 1
precision 1
premature 1
prevent 1
price 2
priests 1
probably 1
process 1
procession 2
produces 1
promises 2
promptly 1
proposed 1
punches 1
purpose 1
pyre 2
queenstown 1
rail 4
railroad 1
railway 3
rare 1
rather 1
reach 2
reaching 1
really 1
receive 1
red 1
reform 5
refuses 1
regret 1
relative 1
remains 1
replacement 1
repose 1
rescue 1
rescues 1
response 1
returns 1
reunited 1
revealing 1
reverend 2
reward 1
rich 1
ride 1
rises 1
robber 4
roll 1
row 1
runs 1
sacrificed 1
said 1
same 1
san 4
sanctuary 1
saturday 1
savile 1
scaring 1
schedule 2
scotland 1
sea 4
search 3
secretly 2
section 1
secure 1
see 1
sees 1
sets 1
shanghai 1
share 1
shaving 1
she 2
ship 2
shirts 1
shoes 1
short 1
shows 2
sign 1
since 3
sioux 1
site 1
sledge 1
small 1
smoke 1
snowy 1
so 1
social 1
soil 3
soldiers 1
solitude 1
some 1
soon 1
soothing 1
south 2
spare 1
spend 1
spy 1
starts 4
states 2
stating 1
station 1
steam 3
steamboat 1
steamer 11
steamers 1
still 2
stockings 1
stolen 1
story 1
stylemarginauto 1
suddenly 1
suez 3
sunday 1
support 2
suspension 1
suttee 1
take 5
taken 1
takes 3
taking 2
telegraph 2
than 2
that 18
the 95
their 3
them 6
then 2
there 2
thereby 2
they 16
this 6
three 2
through 2
time 8
timetables 1
to 67
today 4
toward 1
tracks 1
train 7
trains 1
transamerican 1
transit 1
travel 1
travelled 1
travellers 3
travelling 2
trip 1
try 1
trying 2
turns 1
twenty 1
two 3
uncoupling 1
united 3
up 1
upthe 1
valet 1
vehicles 1
very 2
vessel 2
via 1
voluntarily 1
volunteer 1
voyage 4
wager 3
warrant 3
warriors 1
was 2
watched 1
water 1
way 1
wealth 1
well 1
where 4
whereupon 1
which 8
while 1
whist 1
who 7
whose 2
will 3
win 1
wind 1
winds 1
with 10
without 2
woman 3
won 1
wooden 1
word 1
world 4
wrongthe 1
yard 1
years 1
yokohama 6
york 5
young 3
