8543436
/m/02778hl
/m/02778hl
Margaret Weis
1990
a 19
abducting 1
able 1
about 2
above 1
across 1
actually 4
advantage 1
against 5
agonizes 1
agrees 1
air 1
alfred 12
aligned 1
all 8
almost 1
along 1
also 1
altitudes 1
ambitious 1
amongst 1
an 4
and 24
anne 1
anything 1
are 4
arent 1
arianus 5
arianusmdashnot 1
arrested 2
arrival 1
as 8
assassin 1
at 5
attacks 1
attention 1
average 1
avoid 1
away 1
back 3
balding 1
bandages 1
bane 13
basic 1
battle 1
be 2
beautiful 1
becomes 2
before 2
begins 1
behind 1
being 2
belief 1
believe 1
believes 1
birth 1
bolttightner 1
both 1
brilliantly 1
brings 1
brought 1
but 10
by 5
called 1
came 1
can 2
canine 1
captain 2
castle 1
centuries 1
certainly 1
changeling 1
chaos 2
charmed 1
chase 1
cheerfully 1
child 2
childmdashcharming 1
circumstances 1
citysized 1
clear 1
coffins 1
come 1
comes 1
composed 1
concerning 1
confirms 1
confront 2
conquer 1
constant 1
containing 1
continent 2
costs 1
could 1
covered 1
crashed 1
crashland 2
creeps 1
crime 1
crown 1
damaged 1
danger 1
dead 1
death 1
decides 1
decision 1
despite 2
destroy 1
destroys 1
devious 1
die 1
dies 1
disappearing 1
disapproval 1
discreetly 1
disgust 1
distance 1
do 1
dog 3
dote 1
down 1
dragon 1
dragonship 1
dragonships 1
draw 1
drevlin 4
dwarven 1
dwarves 1
each 1
ears 1
else 1
elven 2
elves 1
encounters 1
enemies 1
entire 1
entirely 1
equalled 1
erupts 1
escapes 1
even 2
eventually 1
every 1
evil 2
execute 1
fact 1
fainting 1
false 1
father 2
feather 1
fellow 1
filled 1
fire 1
first 1
flat 1
floating 1
flying 1
followed 1
follower 4
for 10
fortress 1
found 1
free 2
freed 1
from 5
gangly 1
geg 1
gegs 2
giant 2
girlfriend 1
give 1
glass 1
go 1
god 4
godlike 1
gods 3
good 1
greatest 1
group 1
hand 1
hangglider 1
haplo 12
haplomdashlimbeck 1
has 2
have 2
he 14
hear 1
hearing 1
hears 1
helphands 1
her 3
heretical 1
hidden 1
high 3
him 5
himself 1
hired 1
hiring 1
his 17
hopes 1
horror 1
house 1
hugh 6
human 1
humanity 1
humans 2
husbandtobe 1
imprisoned 1
in 21
inadvertently 1
influence 1
injured 2
injuries 1
insects 1
instead 1
instructs 1
intelligent 1
into 2
investigate 1
iridal 3
is 16
island 1
islands 1
isolationist 1
it 2
its 1
jarre 3
joining 1
joking 1
journey 1
kickseywinsey 4
kill 1
kills 1
kind 1
king 1
land 1
late 1
lead 1
leads 1
leave 1
leaving 1
likes 1
limbeck 6
live 2
long 2
lord 5
lot 1
low 1
machine 1
magic 1
magical 1
magically 1
make 3
makes 1
man 5
manages 2
manservant 1
master 1
meantime 1
mid 1
mindcontrol 1
missing 1
montbank 1
month 1
more 1
most 2
move 1
much 2
mutiny 1
mysteriarch 1
mysteriarchs 1
mysteriarchsmdashcould 1
mysteriously 1
named 1
neardeath 1
never 2
new 1
next 1
nexus 4
no 1
noble 1
nominally 1
nor 1
not 3
novel 1
obsessed 1
of 26
off 1
on 9
once 2
one 5
opens 1
oppressive 1
optimistic 1
or 1
ordered 1
other 2
others 1
out 1
over 3
overlords 1
own 1
path 1
patryn 3
patryns 1
peaceloving 1
people 3
pet 1
pit 1
planned 1
porous 1
powerful 3
preparation 1
prepare 1
prepared 1
prepares 1
present 1
prince 2
prison 1
prisoners 1
process 1
prologuemdashawakens 1
pryan 1
queen 1
question 1
quickly 2
quicksilver 1
race 2
races 1
rank 1
real 1
realize 1
realm 5
reassembling 1
rebellion 1
recover 1
refuses 1
rescue 1
returns 1
reunite 1
revealing 1
revelations 1
revenge 1
reward 1
rides 1
room 1
rule 1
ruler 1
rulers 1
runemagic 2
runes 2
sad 1
sartan 5
satisfies 1
says 1
seem 1
seems 1
seen 1
selfpossessed 1
sentenced 1
serve 1
seventh 1
several 1
shining 1
ship 4
side 1
sign 1
sinistrad 5
sleeping 1
smaller 1
smitten 1
so 2
some 2
something 2
son 1
source 1
speaks 1
split 1
spread 1
spy 1
status 1
stephen 4
subdues 1
supposedly 1
suspicion 1
switched 1
take 3
takes 2
talents 1
talisman 1
task 1
terms 1
than 1
that 11
the 80
their 8
them 4
themselves 1
there 2
they 5
things 1
thinking 1
this 2
those 1
though 1
thought 1
three 1
through 3
thrown 2
time 3
to 31
told 1
too 3
totally 1
trial 1
tributes 1
trip 1
tripping 1
tunnels 1
two 2
tyrannical 1
unconscious 1
under 2
up 3
use 1
various 1
very 1
war 1
warfare 1
warred 1
was 3
water 3
welf 1
well 2
welves 5
were 2
when 3
where 4
who 3
whose 2
why 1
wife 2
will 8
with 9
wizards 2
woman 1
wont 1
word 1
work 1
world 2
worlds 1
would 1
