15203234
/m/047gpqj
/m/047gpqj
Jim Butcher
2007-04-03
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
20 1
a 33
abby 1
abbys 1
absorbed 1
accept 2
accords 2
acting 1
after 4
again 1
agrees 4
aka 1
all 2
an 4
and 49
anna 6
another 1
answers 1
apartment 2
apparent 2
appear 1
are 1
army 1
around 1
arrive 1
arrives 1
as 3
ash 1
at 5
attack 1
automatic 1
avenged 1
back 1
baron 1
bathrooman 1
be 1
beat 1
beautiful 1
beckitt 1
been 2
before 1
behind 1
being 1
blast 1
blasts 3
boat 1
bodyguard 1
boss 1
boutiquecoffee 1
breaking 1
brings 1
brothel 1
brother 1
bubble 2
building 1
but 2
by 3
called 1
calls 2
can 1
car 1
carlos 1
casts 1
cavern 2
challenge 1
chases 1
check 1
checking 1
chicago 2
children 3
classes 1
clients 1
cloak 5
cloaklike 1
closes 1
clubbrothel 1
coffee 1
coiffure 1
coin 3
collapses 1
combat 1
combination 1
community 1
conclave 1
confront 1
consciousness 2
contract 1
control 1
convinces 1
cosmetology 1
could 1
court 1
cowl 3
cowlwho 1
creates 1
crushes 1
cup 1
darkhaired 1
darkhallow 1
dead 2
death 1
deeps 1
defeat 1
defenses 1
demeter 1
dependents 1
detects 1
devotes 1
didnt 1
die 1
differences 1
digs 1
disappeared 1
discovers 1
discus 1
distribute 1
does 1
dresden 41
dresdens 1
duel 1
during 1
eavesdropping 1
elaine 12
entourage 1
escape 3
escapes 1
escort 1
escorting 1
escorts 1
estate 1
events 1
everyone 2
ex 1
examining 1
excellent 1
exchange 1
executive 1
explaining 1
explains 1
explosion 1
explosives 2
extremely 1
faeries 1
falls 1
families 2
father 1
female 2
few 1
fight 3
figures 1
financial 1
find 2
finds 1
finish 1
finishes 1
fire 2
fitness 1
floor 1
folds 1
follows 2
for 11
forthill 1
free 2
freeholding 1
frees 1
from 4
fund 1
gate 4
genocide 1
ghouls 5
gives 1
go 3
goes 1
gone 1
grateful 1
grey 5
greycloaked 1
guilty 1
had 1
hair 1
happen 1
has 1
hauls 1
have 2
he 6
head 1
health 1
helen 7
help 1
her 5
herself 2
hiding 1
high 1
him 3
himself 3
hired 1
his 10
hold 1
hospital 1
hospitalized 1
hostility 1
hotel 2
hotline 1
house 3
illegal 1
immoral 1
imprisoned 1
in 8
informant 1
information 1
informs 1
initial 1
inside 1
into 3
investigating 1
involved 1
is 13
it 2
job 1
jumps 1
keeps 1
kill 3
killed 1
killer 1
kills 1
lair 1
lake 1
lara 7
lasciel 2
lash 3
last 1
later 1
leader 1
learns 2
lebes 1
legacy 1
lets 1
like 1
little 1
living 1
local 1
loose 1
lord 1
loses 1
madam 1
madrigal 5
magical 4
making 1
malvora 1
man 3
marcone 9
meeting 2
melted 1
members 1
memory 1
mercenaries 1
michigan 1
mind 2
minor 1
missing 3
model 1
molly 1
moment 1
most 1
mouse 3
ms 1
murdered 1
murphy 7
mutual 1
mystery 1
network 2
never 1
nevernever 1
next 1
not 2
notes 2
now 1
of 20
off 1
olivia 3
on 6
one 1
opened 1
opens 2
or 1
orders 1
ordo 3
others 3
out 4
over 2
paranet 1
paranormal 1
part 1
people 1
person 1
photo 1
photos 1
physical 1
plot 1
possibly 2
practitioner 1
practitioners 5
presence 1
priority 1
priscilla 2
problems 1
prostitute 1
protect 1
proven 1
provide 1
psychic 2
put 1
quite 2
raith 5
ramirez 4
rampage 1
realizes 1
realizing 1
recover 1
refuses 1
regains 1
release 1
reports 1
resolve 1
resource 1
restitution 1
return 1
returns 1
reveals 1
ride 1
right 1
route 1
sacrifices 1
safe 1
safety 2
salonnothing 1
scene 1
school 1
seen 2
sees 1
selfawareness 1
selfdefense 1
senses 1
serial 1
she 1
shield 1
shop 1
shotgun 1
show 1
shows 1
signs 1
skavis 6
smuggling 1
so 1
solving 1
some 2
speak 1
speed 2
spell 4
spy 1
stranding 1
such 1
suddenly 1
suggests 1
suicide 5
supernatural 1
support 1
surveillance 1
targeted 1
tells 1
terms 1
that 10
the 58
their 4
them 1
then 1
there 2
these 1
they 8
this 2
thomas 13
those 1
thread 2
threat 1
through 3
time 1
tip 1
to 34
tortured 1
trendy 1
tunnel 1
under 1
undertown 1
unseelie 2
until 1
up 5
ushering 1
vampire 1
vampires 1
vanished 1
veiled 2
victim 3
victims 3
violation 1
vittorio 7
wait 1
wakes 1
wanted 1
warden 1
warp 1
was 3
weaponry 1
weapons 1
were 2
weregild 3
what 1
when 1
where 2
which 1
while 3
white 1
who 2
wiccan 1
will 3
with 6
without 1
women 5
word 2
would 2
wounded 1
year 1
