16401189
/m/03y0887
/m/03y0887
Robert B. Parker
2006
{"/m/028v3": "Detective fiction"}
a 2
after 1
an 1
and 3
any 1
appear 1
appears 1
april 3
are 1
as 3
asking 1
been 1
begs 1
being 2
brothel 1
but 2
by 2
cant 1
charge 1
contact 1
customers 1
deceit 1
extraordinary 1
fee 1
fend 1
fragile 1
greed 1
harassed 1
hawk 1
he 1
her 3
him 1
in 2
investigating 1
is 1
kyle 2
madame 1
manage 1
mentor 1
mystery 1
new 1
not 1
of 3
off 2
office 1
patricia 1
pay 1
protection 1
psyche 1
put 1
questions 1
says 1
scare 1
seem 1
several 1
she 3
someone 1
soon 1
spenser 5
starts 1
stop 2
surfaces 1
the 4
they 1
things 1
thugs 2
to 3
unravels 1
until 1
upscale 1
utley 1
wants 1
web 1
what 1
who 1
without 1
years 1
