5420650
/m/0dl2hz
/m/0dl2hz
Simon Messingham

{"/m/014dfn": "Speculative fiction"}
a 11
absorb 1
after 1
afterwards 1
again 1
against 1
all 1
allowing 1
allows 1
also 1
an 5
ancient 3
and 13
animals 1
apparently 1
appearing 1
are 3
arrive 1
as 1
attack 2
attacks 3
attempts 2
autopsy 1
be 1
become 1
becomes 1
began 1
begin 1
begins 1
being 1
betts 1
bodies 2
bomb 1
breaks 2
brought 1
built 1
burned 1
but 3
by 5
called 1
case 1
causing 2
chief 1
colonists 2
colony 3
confused 1
contact 1
control 1
creature 2
day 1
degenerating 1
despite 1
disappears 1
distress 1
doctor 11
dormant 2
down 2
dying 1
earth 1
eat 2
enough 1
enters 1
escapes 1
essences 1
evil 2
expedition 2
experience 1
explain 1
explains 2
faceeater 6
fails 1
finding 1
finds 1
first 1
focal 1
focused 1
follows 1
for 3
from 1
fuller 4
gather 1
group 3
has 2
have 2
he 4
helen 2
help 1
him 3
his 1
hospital 1
however 1
ii 1
impersonating 1
in 5
insane 1
into 3
intruders 1
investigate 2
is 9
it 5
itself 1
jake 1
joan 3
killed 2
kills 1
knocks 1
later 2
launch 1
leader 1
learns 3
leary 3
leave 1
life 2
little 1
meanwhile 1
mentally 1
mind 3
more 1
mountain 2
mountains 2
move 1
murders 1
mutilated 1
native 1
nearby 1
nuclear 1
of 3
off 2
office 1
officers 1
on 4
one 2
only 1
oppress 1
out 4
overthrown 1
paranoid 1
percival 5
personalities 1
planet 1
planted 1
point 1
police 1
powers 1
proxians 1
proxima 1
proximan 2
proximans 4
read 1
real 2
report 1
response 1
responsible 1
returns 1
reveals 1
riots 1
sam 5
saved 1
send 1
sending 1
sets 1
settlement 1
sewers 1
shape 4
she 3
shifter 3
shifters 1
shut 1
shuts 1
signal 2
something 2
soon 1
space 1
sparking 1
speaks 1
stop 1
streets 1
strike 1
strong 1
studying 1
subdued 1
suddenly 1
survivor 1
telepathic 1
than 1
that 12
the 43
their 4
them 2
then 2
theorises 1
they 1
this 2
threat 1
to 19
trapping 1
turned 1
unconscious 1
under 1
unit 1
until 1
vanishes 1
was 4
when 3
where 1
which 6
whilst 1
who 2
will 1
wipe 1
wishes 1
with 2
without 1
woke 1
woken 1
worker 1
workers 1
xenozoologist 1
