5663858
/m/0dyxtk
/m/0dyxtk
Erich Kästner

{"/m/0dwly": "Children's literature"}
13 1
8 1
a 15
about 2
adopted 1
afternoon 1
allay 1
although 1
amiable 1
an 3
and 12
another 2
are 3
as 5
at 3
attempt 1
back 1
be 1
before 1
being 1
best 1
between 2
bitter 1
both 1
boy 1
boys 1
brawl 1
broken 1
but 1
by 4
cake 1
called 2
captain 1
carry 1
champions 1
characters 1
christmas 1
class 1
classmate 1
classroom 1
coffee 1
compartment 1
containing 1
covers 1
coward 2
crashes 1
days 1
dead 1
decides 1
dictations 1
doctor 2
drama 1
each 1
encouraged 1
end 1
falls 1
father 1
fears 1
few 1
fight 1
first 1
flying 1
for 2
form 1
former 1
friend 1
friends 2
friendship 2
from 2
gym 1
gymnasium 2
hardfought 1
has 2
he 4
him 1
his 7
home 1
house 1
in 3
inaccessible 1
include 1
included 1
is 3
johannsigismund 1
johnny 1
jonathan 1
justus 3
ladder 1
last 1
late 1
leg 1
lives 1
main 1
martin 1
matz 3
medical 1
much 1
nonsmoker 4
of 6
off 2
office 1
often 1
one 2
orphan 1
other 1
own 2
parachute 1
parts 1
past 1
piano 1
player 1
playing 1
plot 1
prima 2
profession 1
pub 1
punishment 1
railway 1
realists 1
realschule 1
reenters 1
remove 1
reported 1
reputation 1
results 1
reunited 1
run 1
school 3
schoolbooks 1
scrapped 1
sebastian 1
sees 1
side 1
six 1
smallest 1
smokes 1
snowball 1
socalled 1
something 1
son 1
spent 1
steal 1
story 2
stripped 1
struggle 2
student 2
students 3
teacher 2
tells 1
term 1
tertia 1
that 2
the 24
their 4
them 1
there 1
they 2
this 3
time 1
to 8
two 1
uli 4
umbrella 1
unconscious 1
until 1
upon 1
using 1
very 1
wardens 1
was 2
wawerka 1
when 1
where 1
which 3
who 5
will 1
win 1
with 2
works 1
written 1
year 2
youth 1
