2621239
/m/07sb9_
/m/07sb9_
D.J. MacHale
2002-09-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 3
abandoned 1
advanced 1
all 1
an 1
and 5
are 2
around 1
artificial 1
as 2
based 1
bedoowan 4
being 1
besides 1
but 1
by 3
called 2
changes 1
characteristics 1
day 2
demands 1
denduron 2
do 1
each 1
earth 2
east 1
even 1
every 1
for 2
from 1
glaze 3
has 2
have 2
hour 1
huts 1
if 1
in 5
into 1
is 3
it 1
kagan 1
killed 1
light 1
little 1
live 1
meet 2
milago 3
mine 2
more 1
most 1
north 1
not 1
of 7
one 2
or 1
order 1
outhouses 1
person 1
place 1
poorly 1
process 1
pushed 1
queen 1
required 1
running 2
same 1
second 1
separate 1
shaft 1
south 1
stone 1
story 3
stoves 1
such 1
suns 1
supply 1
system 1
takes 1
technologies 1
ten 1
territories 1
territory 1
that 2
the 20
them 1
then 1
there 1
they 1
this 1
three 1
to 3
tools 1
treated 1
tribes 1
two 1
universe 2
used 1
valuable 1
very 1
water 2
weighs 1
weight 1
which 1
without 1
