20483584
/m/04_0htf
/m/04_0htf
Erin Hunter
2008-11-25
a 12
abandoned 1
after 2
again 1
all 3
almost 1
along 1
also 1
although 1
an 1
and 36
announce 1
announces 1
another 1
are 7
as 6
ashfur 11
asks 2
attempt 2
back 3
battle 1
because 2
becomes 1
before 2
beg 1
begs 1
being 1
belief 1
believe 1
believing 1
betray 1
between 1
blackstar 5
blocks 1
body 1
border 1
both 1
brambleclaw 2
breaks 1
breath 1
briarkit 1
burns 1
but 6
by 2
called 2
camp 3
can 1
cannot 1
cat 2
catches 2
catmint 3
cats 3
clan 5
clans 1
come 1
comes 1
continues 1
convinced 2
creates 1
crucial 1
current 1
dawnpaw 2
day 1
days 1
death 1
disease 1
drags 2
dream 2
dreams 1
drowned 1
during 1
encounter 1
events 1
expansion 1
explains 2
fake 2
fallen 1
fell 1
fetch 1
finally 2
find 1
fire 2
firestar 6
first 1
flamepaw 2
flames 1
for 5
forgave 1
fresh 1
frightened 1
from 4
full 1
gathering 5
get 2
gets 2
give 1
gives 1
go 1
goes 2
going 2
graystripe 1
greencough 2
had 2
has 1
have 1
hawkfrost 1
he 21
healed 1
heatherpaw 2
heathertail 1
help 3
helped 1
helping 1
her 14
herbs 1
him 5
his 4
holding 1
hollyleaf 4
home 1
hope 1
hoping 1
how 1
however 1
hurt 2
idea 1
if 3
in 14
into 1
involving 1
is 10
it 4
jay 1
jayfeather 4
jaypaw 6
just 1
keep 1
kept 1
kill 1
killed 2
kills 1
kin 1
kits 6
knowing 1
lake 1
later 2
leader 1
leafpool 2
leaps 2
leaves 1
left 1
let 1
lets 1
life 1
light 1
like 1
lionblaze 8
listen 1
live 1
looking 2
loses 1
losing 1
lost 1
loved 1
lying 1
makes 1
may 1
medicine 1
millie 2
missing 1
mountains 1
move 1
muddy 1
murdered 1
name 1
near 1
neck 1
needs 1
nest 1
never 1
not 5
notices 2
now 2
of 13
on 2
one 4
originated 1
other 1
out 2
pain 1
patrol 1
persuades 1
publicly 1
raggedstar 2
real 2
realize 1
realizes 1
receives 1
recent 1
refuge 1
refuses 2
regret 1
return 1
returns 1
reveals 3
rid 1
right 1
runningnose 2
rushing 1
said 1
save 1
scared 1
secret 6
see 3
set 3
shadowclan 5
sharpclaw 1
she 5
shelter 1
shocked 1
short 1
show 2
shows 1
sick 1
sickness 1
sign 2
since 1
sixth 1
slit 1
sol 2
some 1
somehow 1
soon 3
spread 1
squirrelflight 9
starclan 5
stick 1
still 2
storm 1
stream 2
suddenly 1
suggesting 1
supply 2
suspects 1
take 1
takes 2
tawnypelt 2
tell 2
telling 1
tells 2
temporarily 1
tensionfilled 1
territory 1
that 12
the 55
their 1
them 4
then 4
there 2
they 6
this 3
though 1
threatened 1
threatens 1
three 6
through 5
thunderclan 4
tigerpaw 2
time 1
to 29
trampled 1
trap 1
trapped 1
tribe 4
tunnels 1
turns 1
twoleg 2
unknown 1
until 2
up 4
victims 1
vigil 1
votes 1
vow 1
warn 1
warrior 1
warriors 1
was 4
water 1
way 4
well 1
wet 1
when 3
where 2
who 1
whole 1
will 2
windclan 3
wing 1
with 4
without 1
worried 1
worse 1
would 1
young 1
