2465029
/m/07fy_d
/m/07fy_d
Larry Niven
1976
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
120 1
170 1
210 1
235 1
50 1
6 2
a 17
accident 1
activity 1
adapted 2
adjust 1
adjusted 1
adultimmortality 2
advanced 1
after 4
aging 1
ai 2
albeit 1
all 1
almost 1
also 1
although 1
among 1
an 5
and 21
animals 1
animation 1
another 1
antarctica 1
apparently 1
approach 1
are 4
around 3
arranges 1
artificial 1
as 5
at 3
awakened 1
axial 1
axis 1
based 1
be 3
because 2
been 5
believes 1
biological 2
black 1
board 1
body 3
book 1
born 1
boys 4
branch 1
bussard 1
but 2
by 12
called 1
cancer 1
candidate 1
cannot 1
captive 1
captured 1
caught 1
celsius 1
centre 1
changed 2
changes 1
checker 1
climate 1
close 1
closes 1
come 1
comes 1
commodity 1
computer 1
conditions 1
configuration 1
confused 1
considerably 1
continually 1
control 2
conversations 1
corbell 13
could 1
created 1
criminal 1
crone 1
cryogenically 1
cure 1
day 1
decide 1
decided 1
decides 1
defeated 1
degrees 3
despite 1
destiny 1
destroying 2
detour 1
devices 1
dikta 4
dilation 1
direct 1
discovered 1
discovers 1
disgusted 1
disobey 1
distance 2
dominated 1
downfall 1
drugs 1
due 2
earth 10
elapsed 1
elsewhere 1
enable 1
ended 1
engineered 1
enlarged 1
enlist 1
enslaved 1
entirely 1
equally 1
escape 1
escapes 1
evaluated 1
eventually 2
evidence 1
evolved 2
except 1
expendable 1
experience 1
explains 1
exposed 1
extending 1
extinct 2
extracted 1
extreme 1
fahrenheit 1
fails 1
faint 1
finally 1
find 2
finds 1
first 2
for 4
form 1
former 1
fragmented 1
from 6
frozen 1
full 1
future 2
galactic 1
galaxy 1
giant 1
girls 2
gives 1
global 1
gording 1
government 1
habitable 1
had 3
hard 1
has 11
have 7
he 10
head 1
help 2
her 5
hijacks 1
him 5
himalayan 1
himself 1
his 5
hole 1
hope 1
hostile 1
human 1
humans 1
hundreds 1
ideal 1
immortal 2
important 1
in 15
including 1
increased 1
incurable 1
initially 2
intelligence 1
into 5
is 19
it 9
its 2
jerome 1
journey 1
jupiter 3
keeping 1
lands 1
last 1
later 1
leader 1
lengthy 1
liberate 1
life 3
live 1
location 1
loner 1
looming 1
lost 1
lower 1
makes 1
males 1
manages 1
maneuvered 1
medical 1
memories 1
might 1
million 1
mindwiped 1
mindwiping 1
mirellylyra 3
mission 1
modified 1
more 1
most 1
mountains 1
move 1
much 1
new 2
night 1
not 1
novel 1
now 2
obey 1
obsessively 1
of 20
old 1
on 5
once 1
only 6
opposes 1
oppressive 1
orbit 4
order 1
orders 1
original 1
out 1
over 2
own 2
pass 2
passed 1
passenger 1
past 1
pastthough 1
peersa 1
peerssa 10
permanently 1
personality 2
pilot 3
planet 1
planets 1
plants 1
plotting 1
point 1
poles 2
possible 2
potential 1
preadolescent 1
probe 1
process 2
program 1
puts 1
race 1
ramjet 1
ranks 1
reach 1
realizing 1
red 1
refugee 1
regain 1
relativistic 1
remaining 1
replenish 1
resort 1
returned 1
returning 1
returns 1
revelation 1
revived 1
searching 1
secretly 1
seed 1
settlement 1
sexes 1
she 6
ship 7
short 1
so 1
solar 2
sole 1
some 2
somewhat 1
species 1
spent 1
star 2
starship 1
stasis 1
state 4
step 1
still 1
stop 1
story 1
subterfuge 1
suitable 1
sun 2
superheated 1
superhot 1
supermassive 1
surface 1
survivor 1
suspended 1
system 3
take 2
takes 1
talk 1
techniques 1
technology 1
temperate 2
temperature 2
temperatures 1
terraforming 1
tests 1
that 6
the 70
their 3
them 2
they 4
this 4
though 3
threat 1
three 1
tilt 1
time 4
to 29
totalitarian 1
tourist 1
toy 1
transferred 2
treatment 3
tries 1
turn 1
ultimate 1
unmodified 1
uranus 1
uses 1
using 1
vain 1
various 1
waited 1
war 1
was 1
way 1
when 1
whether 1
which 2
while 2
who 5
whom 1
whose 1
will 1
with 4
without 1
woman 1
works 1
worth 1
wrong 1
year 1
years 4
zerotime 1
zones 1
