5925835
/m/0fdw9z
/m/0fdw9z
Jay McInerney
1984-08-12
{"/m/05hgj": "Novel"}
1 1
180s 1
188 1
a 8
affecting 1
also 2
amanda 1
an 1
and 6
apartment 1
appears 1
as 2
at 1
barone 1
based 2
be 2
big 1
boss 1
bright 1
broadway 1
by 8
called 1
checker 1
checkerfor 1
city 1
club 1
cocaine 1
copes 1
directed 1
direction 1
even 1
event 1
eventually 1
every 3
fact 2
fashion 1
film 1
fired 1
for 3
getting 1
go 1
going 1
gone 1
goodman 1
grief 1
had 1
happened 1
harpers 1
he 6
heartbreak 1
hedonism 1
her 2
highbrow 1
him 1
himself 2
his 5
hoped 1
hopeful 1
in 3
initially 1
is 3
item 1
left 1
lights 1
lose 1
magazinelikely 1
mannequin 1
material 1
mcinerney 2
michael 1
modeling 1
musical 2
narrator 1
new 2
night 1
nightclub 1
no 1
nothing 1
novel 1
obsesses 1
of 2
off 1
often 1
on 4
once 2
one 1
or 1
orchestrations 1
over 1
owned 1
party 1
partygoer 1
partying 1
paul 1
photo 1
pretending 1
produced 1
recently 1
repeatedly 1
resorts 1
return 1
richard 1
scene 1
scott 1
searching 1
seeking 1
she 4
someday 1
source 1
stage 1
story 1
telling 1
temperamental 1
that 2
the 9
theater 1
this 1
to 6
using 1
verge 1
visited 1
visiting 1
was 2
where 1
which 2
who 1
wife 1
will 1
with 2
work 1
worked 1
works 1
workshop 1
would 1
write 1
writer 1
written 2
york 1
yorker 1
yuppie 1
