1528733
/m/0587xl
/m/0587xl
Cormac McCarthy
1985-02
{"/m/0hfjk": "Western", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
182 1
1833 1
1878 1
a 48
about 1
according 1
accuses 1
across 2
activities 1
adolescent 1
advantage 1
advised 1
advises 1
advising 1
after 7
afterwards 1
again 3
against 2
agrarian 1
aint 1
all 2
almighty 1
almost 1
alone 3
along 2
although 1
amassed 1
american 2
among 3
an 13
and 44
angeles 1
animal 1
another 2
antonio 1
any 1
apache 1
apaches 2
apparently 1
approached 1
appropriate 1
archeological 1
are 6
arizona 1
arms 1
army 2
arrested 1
arrived 1
arriving 1
arrow 1
as 13
assortment 1
at 8
attack 3
attacked 1
attempts 1
attending 1
auguring 1
author 1
authorities 3
autobiography 1
awed 1
aweinspiring 1
back 1
band 1
bars 1
bartender 1
be 2
bear 1
because 1
been 2
before 4
being 1
ben 1
betrays 1
bexar 1
bison 1
bizarrely 1
bloodshed 1
boehme 1
bones 1
book 1
born 1
both 2
boulder 1
bounty 1
brief 1
briefly 1
brown 1
brutal 2
bulk 1
but 3
by 13
callahan 1
calls 1
came 1
can 3
captain 1
cards 1
carnival 1
carrying 1
caught 1
causality 1
cell 2
center 1
chamberlain 1
chaos 1
character 1
characters 1
chihuahua 1
childkiller 1
christian 1
city 1
civilization 1
claim 1
claiming 1
claims 1
clemency 1
clipping 1
clockworklike 1
codes 1
coins 1
colorado 1
comanche 1
come 1
companion 1
completely 1
compressed 1
consequently 1
construction 1
continue 1
contracts 1
control 1
conversations 1
coordinated 1
cordoning 1
course 1
creek 1
crimes 1
crosses 1
crossing 1
crossmdashwhich 1
curious 1
dance 3
dancemdashin 1
dancing 1
david 1
decades 1
decapitated 1
declares 2
delivers 1
denies 1
deny 1
depraved 1
described 1
describes 1
desert 4
detailing 1
devoted 1
die 1
diego 1
disappointment 1
disingenuous 1
distance 1
distress 1
doctor 1
doesnt 1
domestication 1
door 1
drunkards 1
dumb 1
during 1
each 6
earless 1
eastern 1
elevenyearold 1
encounter 3
encounters 1
end 4
ends 1
enormous 2
enough 1
entering 1
epigraphs 1
epilogue 2
equal 1
errands 1
establishes 1
ether 1
ethiopian 1
even 2
events 1
eventually 1
evils 1
excavation 1
excuse 1
existence 1
explains 1
expresses 1
expriest 1
extended 1
exterminate 1
extinct 1
extinction 1
fabricated 1
fails 1
famous 1
featuring 1
fellow 1
fence 1
ferry 6
ferryman 1
few 1
fiddle 1
fighter 1
figure 1
filibuster 1
filibustering 1
finds 1
fire 1
fires 1
first 4
flee 1
fleeing 1
flesh 1
followed 1
for 12
ford 1
forges 1
formidable 1
fort 1
fortune 2
fortunes 1
fossilized 1
found 2
free 1
french 1
from 9
frontier 1
gang 15
gangthough 1
gathered 1
gaze 1
german 1
gets 1
girl 1
give 1
given 1
glanton 9
go 1
goat 1
god 1
goes 1
good 1
grab 1
griffin 1
group 2
guardsmen 1
gunpowder 1
had 1
hairless 1
hallucinates 1
hanged 1
harbinger 1
has 3
have 3
he 20
heading 1
heart 1
heathen 1
held 1
help 1
hide 1
him 4
himself 1
hired 1
hires 1
his 11
historical 1
holden 13
hole 1
holes 3
home 1
horror 1
however 1
human 1
hundred 1
hunted 1
ideas 1
if 1
ignore 1
illarmed 1
images 1
immense 1
imprisoned 1
improvised 1
in 29
inciting 1
including 2
independently 1
indians 2
indicates 1
influence 1
into 5
irregulars 1
is 15
it 2
its 3
jacob 1
jail 1
jailers 1
join 1
joining 1
