659020
/m/02p2sld
/m/02p2sld
Patrick O'Brian
1998-09-28
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
250000 1
a 20
aboard 2
about 1
accompany 1
act 1
admiral 1
admires 1
adriatic 2
advice 1
african 1
after 5
agreement 1
algerian 1
algerine 1
algiers 3
ali 1
along 5
also 2
although 1
amount 1
an 5
and 31
another 2
arden 1
ardent 1
are 4
arzila 1
as 1
assassinated 1
assent 1
assistance 1
assures 1
at 5
attempts 1
attend 1
attitude 1
aubrey 4
aware 1
away 1
azgar 1
back 2
barmouth 3
based 1
battle 1
be 3
bear 1
beautiful 1
becomes 1
been 1
before 2
behead 1
bey 1
blue 1
bonden 1
book 1
broadside 1
buonaparte 1
buonapartist 1
burnt 1
but 2
buying 1
buys 1
by 5
captain 4
captained 1
caroline 1
carried 1
carrington 1
catching 1
charles 1
chase 1
children 1
chile 1
christian 1
christypalliere 1
claim 1
cliff 1
clifford 1
climbs 1
close 1
coast 1
coincides 1
colonial 1
command 1
commanderinchief 2
commission 1
commodore 1
considerable 1
consolidate 1
consul 1
continuation 1
convoy 1
corsair 3
cousin 1
crab 1
crags 1
cranc 1
de 1
decoys 1
deed 1
defeat 1
defend 1
delegation 1
deposed 1
destroys 1
destruction 1
dey 7
di 1
discovers 1
discreetly 1
disgruntled 1
disliked 1
dispute 1
dockworkers 1
dockyards 1
doctors 2
dr 1
drs 1
dundas 1
durazzo 2
earlier 1
east 1
effective 1
eg 1
el 1
encountering 1
encounters 1
end 2
english 2
fastsailing 1
feels 1
fight 1
finally 2
finds 1
fired 1
fires 1
first 1
fishmonger 1
fitzpatrick 1
fly 1
for 4
french 5
friend 1
friendly 1
frigate 4
from 4
galley 1
galleys 2
galleyscommits 1
gibraltar 4
given 4
gives 2
go 1
gold 3
guilt 1
gun 2
hallam 1
hamadryad 1
handsome 1
has 2
hassan 1
hauled 1
have 2
having 2
hazm 1
he 2
heneage 1
her 1
highly 1
him 2
hired 1
his 7
holes 1
hopeless 1
however 1
hugh 1
hunting 1
huntinglodge 1
ibn 1
illused 1
in 11
indiamen 1
influential 1
informs 1
instructed 2
interview 1
invites 1
irish 1
is 11
island 1
isobel 1
it 2
its 3
itself 1
jack 4
jacob 4
join 1
just 1
kasbah 1
keith 2
kevin 1
khadna 1
kilda 1
kill 1
killed 1
killing 1
kills 1
la 1
large 1
lay 1
learn 1
leaves 1
lies 2
likens 1
lion 2
lioness 1
loan 1
long 1
lord 3
macchabe 1
mahmud 1
mahn 1
mahon 2
makes 1
malta 1
man 1
many 1
matthew 1
maturin 3
may 1
mcleod 1
meet 1
meeting 1
men 1
message 1
midchannel 1
midshipman 1
mock 1
mona 1
money 1
moorish 1
more 1
murad 2
muslim 1
napoleon 1
napoleonic 1
new 4
newlyrefitted 1
ninepounder 1
no 1
not 1
of 18
off 3
omar 3
on 9
once 1
one 3
onto 1
onwards 1
out 2
over 1
palace 1
papadopoulos 1
pasha 3
pavelic 1
peter 1
plan 1
plot 1
politico 1
pomfretunable 1
pomone 1
port 1
porte 1
position 1
presents 1
prisoners 1
privately 1
prize 1
proceed 3
pursuit 1
ragusa 1
reached 1
reaching 1
reis 1
renounces 1
return 2
returning 1
ringle 1
royalist 1
rule 1
running 1
sail 2
sailing 1
salmon 1
sea 1
second 1
seeing 1
sendoff 1
sent 1
set 1
seven 1
several 1
shatt 1
she 1
sheikh 1
ships 2
side 1
simon 1
sink 1
sir 1
situation 3
slab 1
slaver 1
slaves 1
so 1
some 1
somers 1
son 1
spalato 1
spanish 1
spotting 1
squadron 1
st 1
starboard 1
steep 1
stephen 5
stone 1
stopping 1
straight 1
strait 1
straits 2
successful 1
suicide 1
surprise 5
surrender 1
surrenders 1
sw 1
swears 1
taken 1
tangiers 1
tarifa 1
than 1
that 3
the 67
their 1
theme 1
then 5
there 2
they 6
this 2
through 1
thus 1
to 27
tour 1
travel 1
try 1
turned 1
two 2
under 2
undermine 1
unpaid 1
up 2
update 1
vecchia 1
via 1
victorious 1
vizier 4
wait 1
war 1
wars 1
was 1
waterloo 1
way 2
welldirected 1
where 2
which 2
whilst 1
whitehall 1
who 2
whom 1
wife 2
will 3
winedark 1
with 7
xebec 3
xebecs 1
young 1
