11280558
/m/02r652g
/m/02r652g
Hugh Walters
1967
a 4
activity 1
and 1
arise 1
around 1
as 1
at 1
attempted 1
avoid 1
be 3
but 1
can 1
cancel 1
carrierwave 1
carry 1
cassini 1
collisions 1
computer 1
craft 1
crew 1
distances 1
division 1
duration 1
earth 1
even 1
flight 1
flown 1
for 1
gail 1
gap 1
gill 1
however 1
hypothermia 2
in 2
increase 1
instantaneous 1
is 1
landing 1
length 1
long 1
maintain 1
manoeuvre 1
massive 1
means 1
meteor 1
mission 1
modulated 1
narrow 1
of 3
on 2
problems 1
requiring 1
rings 1
saturn 3
ship 1
solution 1
such 1
telemetry 1
telepathic 1
telepathy 1
that 1
the 12
threatens 1
through 1
titan 1
to 6
trip 1
twins 1
unable 1
under 1
undergo 1
which 1
will 2
