10933147
/m/02qvdtx
/m/02qvdtx
Armistead Maupin
2007-06
10s 1
170s 1
180s 2
2000s 1
28 1
80s 1
a 9
accept 1
after 1
aging 2
aids 1
an 1
and 10
ann 1
anna 2
as 7
aspiring 1
attending 1
attitude 1
barbary 1
bearing 1
being 1
ben 1
better 1
between 3
biological 1
book 5
boom 1
both 2
brian 2
brother 1
brunt 1
but 1
by 1
case 1
changes 1
chapters 1
character 1
characters 4
choose 1
chronic 1
city 2
com 1
concerning 1
coworker 1
crisis 1
daughter 1
days 1
death 1
decade 1
departure 1
derives 1
described 1
developing 2
differences 1
distressing 1
dot 1
due 1
eighteen 1
elderly 1
encounters 1
epidemic 1
eventually 1
explores 1
exwife 1
familiar 1
family 1
finds 1
first 2
flame 1
florida 1
for 1
forced 1
francisco 2
from 5
further 1
gap 1
gays 2
generation 1
graceful 1
greenleaf 1
halfremembered 1
has 1
hawkins 1
him 1
himself 1
his 7
hiv 1
homosexuality 1
illness 1
impending 1
in 12
include 2
involve 1
irwin 1
is 3
it 1
jake 1
killed 1
landlady 1
lane 1
large 1
last 1
lives 1
logical 1
madrigal 1
major 1
many 1
mary 1
maupin 1
medication 1
michael 7
millennium 1
more 1
mother 2
much 2
narrated 1
new 2
novel 1
now 1
nowadult 1
of 15
old 1
on 1
onetime 1
opening 1
opposed 1
original 2
pages 1
pansexual 1
part 3
partner 1
peers 1
person 1
plot 2
present 1
prompting 1
published 1
realities 1
reflect 1
refused 1
relationship 1
represents 1
return 1
san 2
second 1
secondary 1
sequence 1
series 2
several 1
shawna 1
she 1
since 1
singleton 1
sixth 1
some 1
status 1
style 1
survivor 1
tales 3
tension 1
test 1
thanks 1
that 1
the 32
theme 1
thirdperson 1
thread 1
title 1
to 8
tolliver 1
transformed 1
transgendered 1
treatable 1
was 1
well 2
which 1
with 1
writer 1
years 1
younger 1
