1096467
/m/045pc2
/m/045pc2
Timothy Zahn

15 1
16000 1
200 1
2000 1
a 5
access 1
accident 1
ackbar 1
admiral 2
advantage 1
after 2
again 1
against 5
agent 1
all 3
also 4
and 9
army 1
as 1
assembles 1
automated 1
battle 2
became 1
because 1
before 1
begins 1
bel 2
book 1
but 1
c3po 1
calrissian 1
captive 1
capture 1
captured 1
caused 1
cbaoth 3
charges 1
chewbacca 1
clone 2
colleagues 1
complement 1
complicates 1
constructed 1
continues 1
controls 1
convinces 1
course 1
crew 1
crews 2
deception 1
destroyers 1
diminishing 1
discover 1
discovers 1
down 1
dreadnaughts 2
drove 1
during 1
early 1
elsewhere 1
emperor 2
empire 4
entire 1
escaping 1
especially 1
events 2
exonerated 1
face 1
fell 1
fight 2
fighter 1
filed 1
find 1
firepower 1
first 1
flagship 1
fleet 10
for 1
force 1
forces 2
forerunners 1
former 2
from 3
full 1
further 1
garm 1
grand 1
had 1
han 2
has 2
having 1
he 2
heir 1
hence 1
her 1
highly 1
him 2
his 3
home 1
honoghr 1
however 3
huge 1
hyperspace 1
iblis 2
imperial 2
in 4
infected 1
insane 1
instruction 1
into 1
is 4
it 2
jade 2
jedi 1
join 1
jomark 1
joruus 1
karrde 2
katana 5
khabarakh 2
knew 1
knocked 1
known 1
lando 2
later 1
learns 1
leia 1
lucky 1
luke 3
madness 1
mara 1
marshal 1
master 1
mon 1
more 1
mothma 1
movie 1
navy 1
never 1
new 2
noghri 2
now 1
of 16
old 1
on 2
one 1
opposition 1
out 3
over 2
own 1
palpatine 1
planet 3
presence 1
presses 1
prior 1
private 2
r2d2 1
rebellion 1
recruit 1
reduced 1
rejoins 1
republic 4
responds 1
revealed 1
securing 1
seen 1
senator 1
send 1
several 1
she 2
ships 1
shot 1
skywalker 1
slave 1
smuggler 1
solo 1
some 1
stages 1
star 1
stern 1
storehouse 2
summon 1
summons 1
support 1
take 1
talon 1
that 4
the 44
their 2
them 3
they 2
things 1
this 2
thrawn 3
through 1
time 1
to 15
tow 1
travel 1
treason 1
troops 1
try 1
two 1
unfortunately 1
until 1
uses 1
veteran 1
virus 1
waged 1
war 1
wars 1
warships 1
was 4
wayland 1
were 1
when 3
where 1
who 1
with 3
without 1
years 1
