2914384
/m/08c7hk
/m/08c7hk
Kenneth Oppel
2004-02-05
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/06www": "Steampunk"}
14yearold 1
2 1
8 2
a 25
abandon 1
aboard 2
about 3
above 1
abruptly 1
academy 2
accompany 1
across 1
act 1
action 1
admits 1
afloat 1
after 2
afterward 1
again 3
ahead 1
air 5
airborne 2
aircraft 1
airship 6
airships 2
akin 1
alerted 1
all 3
almost 1
aloft 1
also 2
although 1
an 5
and 42
another 2
antiseptic 1
anything 1
apart 1
are 10
as 13
asleep 1
aspires 1
associating 1
at 7
attempted 1
aurora 17
australia 1
auxiliary 1
away 1
back 5
baggage 1
balloon 4
bandages 1
base 1
be 2
beautiful 1
because 1
becoming 1
been 1
begin 1
beginning 1
begins 1
being 3
below 1
bent 1
birth 1
bitten 1
bitter 1
board 1
born 2
both 1
bound 1
boy 3
bringing 1
bruce 8
but 13
by 10
cabin 2
camera 1
camp 1
can 2
cannot 1
captain 2
car 2
carnivores 1
carrying 1
cat 3
cats 4
caught 3
causing 1
chance 1
chaperone 1
chef 1
chief 1
child 1
churning 1
city 1
closest 1
cloud 7
comes 1
containing 1
control 3
controls 1
cook 1
crash 2
crashes 1
creatures 8
crew 5
crippled 1
crow 1
crumlin 1
cuts 1
damaged 1
damages 1
dangerous 1
dark 1
day 1
de 1
dead 1
dearly 1
decide 2
defeat 1
defeats 1
detailed 1
died 1
dies 1
directly 1
disaster 1
discover 1
discovers 1
do 1
dont 2
down 1
drawings 1
dreams 1
drifting 1
drugging 1
duty 1
earth 1
ease 1
eaten 1
element 1
elixir 2
embarking 1
ends 1
engines 1
enter 1
escape 2
escapes 1
everything 1
excellent 1
exhibiting 1
exploring 1
fall 2
fallen 1
falls 1
father 5
feather 1
featherstone 1
feels 2
feet 1
fell 1
few 3
fight 1
fin 1
find 5
finding 1
finds 1
firmly 1
first 3
fly 4
flying 2
food 1
for 10
forced 2
forcing 1
forest 2
forever 1
freefalls 1
from 7
gas 2
get 1
gets 1
given 1
gives 1
gluing 1
go 1
goes 1
going 1
gondola 1
gone 1
graduated 1
grandfather 4
ground 1
group 1
guilt 1
had 1
harem 1
harm 1
has 4
have 3
he 20
head 1
heavily 2
held 1
help 2
her 16
herzog 1
him 2
himself 2
his 9
home 1
hostage 1
hours 1
how 1
hull 1
hundred 1
hydrium 4
idolizes 1
if 2
in 21
infirmary 1
information 1
injured 1
interrupts 1
into 4
is 28
island 7
it 1
its 1
journal 1
journey 2
jungle 1
just 4
kate 13
keeps 1
killed 1
kills 1
kissing 1
knows 1
land 1
landing 1
lands 2
large 2
last 1
late 1
later 4
leak 1
learns 1
leave 1
led 1
left 1
leg 2
lifting 1
light 1
like 1
line 2
lines 1
lionsgate 1
living 1
located 1
locked 2
looking 1
looms 1
lose 1
lost 1
loves 1
lunardi 3
luxury 1
lying 1
main 1
majestic 1
man 3
many 1
marjorie 1
marks 1
mate 1
matt 27
may 1
mercy 1
minutes 1
miss 3
money 1
months 1
mother 1
mountain 1
mr 1
much 1
name 1
natural 1
nest 1
never 2
news 1
night 3
nights 1
no 1
not 3
nothing 1
notice 1
notorious 2
of 28
off 2
officer 1
ointment 1
old 3
on 11
one 6
only 3
onto 1
open 1
operation 1
or 1
other 2
otto 1
out 2
over 1
overwhelmed 1
owner 1
panther 1
pants 1
paris 2
passengers 4
passion 1
passionate 1
peak 1
permission 1
peroxide 1
photograph 1
pictures 2
pirate 2
pirates 11
pit 1
place 2
plunder 1
position 1
precious 1
prepare 1
presence 1
previously 1
proceed 1
promised 1
protagonist 1
prove 1
put 1
quickly 1
radio 1
raided 1
rambling 1
ready 1
real 1
realization 1
rebuked 1
receives 1
recognize 1
redeems 1
relationship 1
relief 1
relieved 1
remain 1
remembers 1
repairing 1
rescue 1
rescued 1
rescues 1
result 1
retakes 1
revealed 1
reward 1
river 1
romantic 1
room 1
ruined 1
run 1
running 1
runs 1
sail 1
sailmaker 2
sailmakers 1
saw 1
scanning 1
seas 1
second 1
see 1
sent 1
sets 1
shares 1
she 3
shift 1
ship 10
ships 1
shipwrecked 1
shortly 1
shot 1
shut 1
side 1
sights 1
simpkins 3
sinking 1
sisters 1
six 1
skeleton 2
skies 1
skin 3
skybreaker 1
sleeping 2
small 1
smaller 1
smelt 1
sneak 1
sneaks 1
so 3
some 2
soon 2
spend 1
spots 1
spotted 1
stay 1
steers 1
stop 1
storm 2
story 5
study 1
stumble 1
substance 1
suspected 1
switch 1
sydney 2
szpirglas 10
take 1
takes 1
tearing 1
terrible 1
that 12
the 112
their 2
them 2
then 5
there 1
these 3
they 14
this 2
though 1
thought 1
through 1
to 39
together 1
too 1
top 1
torn 1
touching 1
towards 1
tree 1
truly 1
try 1
trying 1
twice 1
two 1
unconscious 1
undo 1
university 2
unload 1
unnecessary 1
unusual 1
upon 1
use 1
valuables 1
very 1
vikram 1
village 1
vlad 1
vries 1
was 4
way 1
we 2
wealthy 1
well 1
were 2
when 6
which 4
while 3
who 4
whod 1
whose 1
will 1
wind 1
winds 1
wing 1
winged 1
wireless 1
with 9
without 1
would 1
wound 1
year 1
years 1
yet 1
zoology 1
