14791445
/m/03gy29q
/m/03gy29q
David Peace
2006-08-17

a 4
alcoholism 1
and 5
are 2
as 5
author 1
based 1
beset 1
bitter 1
by 1
clough 2
consciousness 1
county 1
days 1
deeply 1
demons 1
depict 1
derby 1
described 1
documented 1
don 1
fact 1
facts 1
fails 1
fiction 2
flashbacks 1
flawed 1
foul 1
from 2
he 2
hero 1
his 4
impose 1
inherited 1
inner 1
interspersed 1
is 1
its 1
loyal 1
manager 2
mixes 1
more 1
mouthed 1
novel 2
of 3
old 1
on 2
players 1
point 1
revie 1
rival 1
rumour 1
speculation 1
still 1
stream 1
successful 1
team 1
the 2
their 1
to 4
told 1
tries 1
vengeful 1
view 1
whose 1
will 1
with 2
written 1
