2994054
/m/08jc3d
/m/08jc3d
Robert Ludlum
1993-04-08
{"/m/06wkf": "Spy fiction", "/m/0d6gr": "Reference", "/m/02xlf": "Fiction"}
a 3
alive 1
amaya 2
amsterdam 1
an 1
and 2
assignment 1
bajaratt 1
balance 1
beautiful 1
been 1
behind 1
best 1
called 1
can 1
cannot 1
chilling 1
conspiracy 1
consummate 1
dangerous 1
deadly 1
desperate 1
discover 1
down 1
elusive 1
exists 1
follow 1
for 2
government 1
hanging 1
has 2
hawthorne 4
he 1
help 1
his 1
illusion 1
in 3
innocent 1
intelligence 1
is 2
killer 1
last 1
life 1
man 1
most 1
motion 1
murdered 1
must 2
naval 1
network 1
night 1
now 1
of 3
officer 1
one 2
only 1
out 1
president 1
rainswept 1
retirement 1
scorpio 1
serpentine 1
set 1
shattering 1
she 1
sinister 1
stop 1
terrorist 1
that 2
the 10
this 1
to 2
track 1
trail 1
truth 1
tyrell 1
uncover 1
until 1
victim 1
was 2
when 1
who 1
wife 1
with 1
world 1
