1428881
/m/050t1m
/m/050t1m
Compton Mackenzie
1947
{"/m/011ys5": "Farce", "/m/01z4y": "Comedy"}
a 5
aboard 1
about 1
accents 1
all 1
also 2
although 1
an 1
and 7
approximate 1
are 4
area 1
as 1
at 2
authorities 1
background 1
barra 1
based 1
battle 1
before 1
between 1
book 1
both 2
but 2
cabinet 1
captain 1
captures 1
cargo 1
cases 2
catandmouse 1
catholic 2
centre 1
clashes 1
clear 1
comes 1
common 1
confiscate 1
couples 1
culture 1
detail 1
due 1
during 1
efforts 1
eg 2
english 1
ensues 1
eriskay 1
escapades 1
fictional 1
fifty 1
gaelic 1
geography 1
get 1
glossary 1
godsend 1
great 2
group 1
guard 1
had 1
hebrides 1
home 1
hundred 1
ii 1
in 4
includes 1
including 1
is 3
island 3
islanders 1
islands 2
it 1
language 1
life 3
liquor 1
little 2
lot 1
mackenzie 2
manage 1
married 1
mdash 2
meaning 1
minister 1
misguided 1
much 1
must 1
nearly 1
not 1
of 14
off 1
on 1
out 1
outer 1
over 1
particularly 1
paul 1
planning 1
pompous 1
pronunciation 1
prose 1
protestant 1
rationing 1
real 1
remote 1
respectively 1
roman 1
run 1
sailing 1
salvage 1
scottish 1
see 1
several 1
shape 1
ship 1
sinks 1
ss 1
story 1
subplots 1
that 1
the 22
there 2
these 1
they 3
thirsty 1
this 1
thousand 1
thwart 1
time 1
to 4
todday 4
two 1
unexpected 1
use 1
useful 1
various 2
vessel 1
waggett 1
war 1
wartime 1
was 1
water 1
whisky 2
who 1
with 2
wits 1
world 1
wreck 1
wrecked 1
