10254174
/m/02q6lc5
/m/02q6lc5
Enid Blyton
1944
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 8
accompanied 1
accompany 1
after 1
alert 1
allow 1
allows 1
amazed 1
an 1
and 8
anne 1
are 2
arrest 1
arrive 1
aunt 2
away 1
back 1
be 2
but 2
by 2
can 1
cared 1
catches 1
child 1
children 2
clothes 1
come 1
cook 1
cornwall 1
could 1
country 1
daughter 1
decides 1
dick 1
discover 1
discovery 1
dog 1
each 1
edgar 1
evidence 1
exploring 1
falls 1
fanny 2
faroff 1
father 1
find 1
five 1
for 3
friends 1
george 3
ghastly 1
girl 4
go 1
going 1
happiness 1
has 1
hatches 1
hate 1
have 1
having 1
her 6
herself 1
holidays 1
hospital 1
husband 1
ill 1
imprisoned 1
in 4
into 1
is 3
island 6
it 1
julian 2
kidnapped 2
kirrin 3
leave 1
leaving 1
little 1
look 1
looking 1
man 1
more 1
mrs 2
new 1
night 1
no 1
of 3
old 1
on 5
other 2
plan 2
poison 1
police 2
quentin 1
rescue 1
retreat 1
rich 1
run 1
scream 1
secret 1
see 1
she 2
sinister 1
smugglers 1
something 1
son 1
spend 2
spoilt 1
stay 1
stick 2
sticks 4
take 1
taking 1
temporary 1
that 2
the 20
their 2
them 1
there 1
they 5
time 2
timmy 1
to 15
tormented 1
trap 1
treated 1
tries 1
uncle 1
very 2
week 1
when 3
while 1
who 2
whole 1
with 4
wreck 1
young 1
