4913305
/m/0ctx74
/m/0ctx74


{"/m/03mfnf": "Young adult literature"}
a 5
after 4
airport 2
along 1
and 12
andre 3
any 1
are 1
around 1
as 2
asks 1
at 1
away 1
back 3
bag 1
band 1
because 1
been 1
being 1
bikes 1
body 1
bolts 1
brother 1
bruce 1
burned 1
but 2
by 1
byrne 1
car 2
choice 1
christ 2
church 3
clothes 1
convinces 1
day 1
decide 1
down 1
driver 1
drops 1
early 1
faith 1
family 1
few 1
finally 1
find 2
finding 2
finds 2
first 1
four 1
friends 1
from 3
get 3
go 6
goes 1
going 1
good 1
grab 1
grabs 1
gridlocked 1
ground 1
happen 1
has 2
he 5
head 1
hear 1
hell 1
her 3
himself 1
his 6
hopelessly 1
hopes 1
hotel 1
hours 1
house 6
in 10
international 1
is 2
judd 6
kill 1
lionel 5
live 1
lot 1
meanwhile 1
meet 1
message 1
miles 2
morning 2
move 1
new 1
news 1
next 2
night 1
no 1
not 2
now 1
of 5
off 1
ohare 1
only 1
out 4
over 2
parents 1
park 1
parking 1
pray 1
ran 1
receive 2
ride 1
ryan 7
scared 2
set 1
she 2
sister 1
some 2
sorry 1
spend 1
splitting 1
stay 2
staying 1
stuff 2
take 1
taken 2
taxi 1
team 1
telling 2
tent 1
that 4
the 18
their 3
them 1
then 1
there 3
they 11
thompson 1
three 1
to 24
together 2
too 1
trailer 2
uncle 2
up 4
vicki 3
voicemail 1
wanting 2
was 2
way 1
where 3
who 1
with 3
without 1
yard 2
