318936
/m/01v7rg
/m/01v7rg
William Shakespeare

1 1
a 21
able 1
accepts 1
accompanying 1
accuses 1
acknowledges 1
act 3
after 1
alcibiades 8
alive 1
all 4
allowed 1
along 1
also 1
an 4
and 26
andor 1
anger 2
angling 1
angry 1
another 2
apemantus 4
appears 1
appreciate 1
arbitrarily 1
are 5
arguing 1
arrive 1
arrives 1
art 1
artists 1
as 6
assault 1
at 4
athenian 2
athens 2
attacks 1
attended 1
audience 1
away 4
back 1
bandits 1
banish 1
banquet 4
barbs 1
because 1
been 3
before 2
begins 1
being 1
bereft 1
betrayed 1
bitter 2
blood 1
break 1
brought 1
but 8
by 10
caitiffs 1
callimachus 1
cannot 2
carry 2
caustic 1
cave 1
characters 1
churlish 1
city 2
closest 1
come 1
companions 1
composed 1
considers 1
consume 1
continues 1
copying 1
corpse 1
couple 1
creditors 1
crime 1
crude 1
curse 1
cursing 1
cynical 1
cynicism 1
dancing 1
daughter 1
debt 1
debtors 1
delivering 1
demands 1
destroyed 1
did 1
dies 1
disagree 1
discovers 1
discussing 1
disease 2
diseased 1
dishes 1
divided 1
does 2
down 3
dubious 1
elsewhere 1
end 2
ends 1
entertained 1
envoys 1
epitaph 1
even 1
everyone 1
example 1
except 1
exchange 2
experiences 1
experimental 1
false 1
feast 1
feels 1
fill 1
financial 1
find 3
finishes 1
fiveact 1
flavius 6
flees 1
followed 1
fool 1
for 9
forever 1
friend 3
friends 5
friendship 1
from 7
further 1
gait 1
generous 1
gentleman 1
get 1
give 1
given 2
gives 4
giving 1
glove 1
go 1
goes 1
gold 2
guest 2
guests 1
had 1
hang 1
happiness 1
has 10
hate 1
have 2
he 23
help 1
here 4
him 8
himself 2
his 21
home 2
hoped 1
horses 1
hot 1
hunt 1
i 1
immediate 1
impure 1
in 9
initially 1
intended 1
into 4
invective 1
invites 1
is 15
it 1
jewel 1
jeweller 1
joins 1
junior 1
killing 1
knowledge 1
laments 1
land 1
large 1
last 1
leaving 1
left 2
lengthy 1
lie 1
lies 1
little 1
living 1
loyal 1
lucilius 1
lukewarm 1
main 1
make 2
makes 1
man 3
marching 1
marry 1
masque 1
men 1
mercy 1
mere 1
might 1
misanthrope 1
misanthropic 1
misanthropy 1
money 4
monologues 1
more 1
most 1
much 2
munificence 1
murder 1
mutually 1
my 1
name 1
naturally 1
nature 1
nearly 1
next 1
not 8
now 2
of 20
offers 1
officers 1
old 1
on 7
one 4
only 2
or 1
other 1
otherwise 1
out 2
painter 2
parasitic 1
part 1
party 2
pass 2
passion 1
past 1
patronage 1
pay 2
payment 1
pays 1
persists 1
pessimistic 1
philosopher 2
phrynia 1
placate 1
plague 1
play 2
pleads 1
please 1
poem 2
poet 2
point 1
possessions 2
premeditated 1
price 1
prison 1
prostitutes 1
race 1
rage 1
raillery 1
rather 1
reached 1
reading 1
rebel 1
reduced 1
reflected 1
released 1
remainder 1
repeatedly 1
requests 1
rest 1
returns 1
revenge 2
rocks 1
roots 1
scenes 1
see 1
seek 1
senate 1
senators 2
sends 2
sentence 1
servant 3
servants 3
serving 1
severe 1
shadowing 1
shallow 1
shining 1
should 1
show 1
showering 1
smaller 1
so 1
society 1
sold 1
soon 1
soul 1
spectacle 1
speech 1
spent 1
sprays 1
spread 1
spreads 1
stay 1
steward 1
straits 1
structure 1
style 1
subject 1
subsidise 1
success 1
support 1
sustaining 1
talents 1
tells 2
terrorises 1
that 8
the 50
their 3
them 4
themselves 1
then 2
they 1
things 1
this 3
those 2
three 2
throws 2
thy 2
timandra 1
timon 34
to 23
told 2
trade 1
trays 1
treated 1
tried 1
troops 1
trove 1
true 1
turned 1
two 3
under 1
underground 1
unfinished 1
up 1
upset 2
value 1
venereal 1
vent 1
ventidius 3
visit 1
vows 2
walls 1
wants 4
was 2
wastefully 1
water 2
way 1
wealth 1
wealthoverextending 1
wealthy 1
well 1
when 4
which 2
who 7
whores 1
whose 1
wicked 1
wilderness 2
will 1
winds 1
with 9
without 1
wooing 1
worth 1
wretched 2
writers 1
wrote 1
yet 1
you 1
