2541164
/m/07lxtt
/m/07lxtt
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 3
acting 1
acts 1
adult 1
almost 1
an 2
and 3
apprentice 1
between 1
building 1
calmly 1
closer 1
culture 1
despite 1
destroyed 1
discovered 1
during 1
eventually 1
excessive 1
find 1
goal 1
has 1
have 1
him 1
his 2
impresses 1
independently 1
investigate 1
is 5
it 1
jedi 1
jinn 1
kenobi 1
major 1
master 3
mission 2
nearly 1
new 1
now 1
obiwan 3
odd 1
of 2
on 1
planet 2
planets 1
proud 1
quigon 1
relationship 1
rising 1
routine 1
scenes 1
sees 1
separately 1
several 1
solve 1
somewhat 2
stopping 1
terrorist 1
that 1
the 4
themselves 1
they 1
this 1
threat 1
to 1
two 1
very 1
when 1
which 2
while 1
with 1
within 1
work 1
working 1
workobsessed 1
