31380111
/m/0gkzhdq
/m/0gkzhdq
Jodi Picoult
2011-03-01

a 16
about 2
admit 1
admits 1
after 1
again 1
against 1
agree 3
agrees 4
all 1
allegation 1
allow 1
also 1
although 1
ammy 1
an 1
and 54
angela 2
angry 3
another 1
are 7
as 2
ashamed 1
asks 1
asserts 2
at 6
award 1
baby 3
baxter 3
be 5
because 5
become 1
becomes 2
begin 1
being 2
ben 1
benjamin 1
betray 1
better 1
between 1
bornagain 1
both 1
bottom 3
brother 1
bullying 1
but 5
by 4
calls 2
cannot 2
care 1
carry 1
case 3
cases 1
child 6
children 7
christian 2
christians 1
church 1
classmates 1
clive 4
confides 1
confused 1
considers 1
consults 1
convert 1
could 1
course 1
cracks 1
create 1
cryogenically 1
defends 1
disgusted 1
divorce 2
does 1
dog 1
drowning 1
early 1
efforts 1
embryos 5
end 1
enlist 1
enough 1
epilogue 1
equally 1
even 1
eventually 4
evidence 1
eyes 1
fact 1
fairy 1
fall 1
family 2
fast 1
father 2
favor 1
fears 1
first 1
floating 2
for 4
freezing 1
friends 1
from 2
frozen 1
furnishing 1
gay 2
gears 1
genetic 1
getting 1
girl 2
give 4
going 1
great 1
grocery 1
had 1
happy 1
has 3
have 6
he 8
healthy 1
help 1
her 13
herself 1
him 6
his 4
hostile 2
hostility 1
household 1
if 2
implanted 1
in 14
incident 1
incredulous 1
initially 1
into 1
is 21
it 2
judge 1
knows 2
late 1
later 2
lawyer 3
learn 1
lesbian 3
lesbianism 1
less 1
lesser 1
liddy 7
lights 1
like 1
little 1
looking 1
loses 1
love 2
luckiest 1
lucy 1
lucywho 1
mama 1
man 1
married 1
marry 1
max 23
meanwhile 1
meets 1
miscarriages 1
molested 1
mommy 1
month 1
moretti 1
morning 1
mothers 3
moved 1
much 1
musical 1
must 1
named 2
names 1
ness 1
nevertheless 1
no 2
normal 1
not 4
of 16
often 1
old 1
ollie 1
one 2
only 1
openly 1
or 2
originally 1
over 1
own 2
papers 1
parents 1
passed 1
pastor 6
peeked 1
play 1
playing 1
pool 2
preborn 1
pregnancy 1
pregnant 1
present 1
pressure 1
preston 1
raise 3
raised 3
readily 1
realizes 1
really 1
rebellious 1
recovered 1
reid 5
relationship 1
religion 1
remarks 1
reveals 1
right 1
rights 1
role 2
room 1
samantha 1
sammy 1
satisfy 1
save 1
seems 1
seen 1
sees 1
serves 1
seven 1
several 2
shaw 1
she 11
shifts 1
shock 1
shocked 1
shortly 1
should 2
shower 1
since 1
sisterinlaw 1
sit 1
six 1
so 1
some 1
soon 2
sorrow 1
specializes 1
stepdaughterwas 1
still 2
store 1
stricken 1
subjected 1
successfully 1
sue 1
suggests 2
suing 1
supplied 1
surely 1
teenage 1
tells 2
that 19
the 35
their 4
them 3
then 1
therapist 1
they 2
think 1
thinking 2
thinks 1
three 2
through 1
time 1
times 1
to 32
together 2
too 1
tooth 1
tries 1
try 1
trying 2
turn 3
turned 1
two 4
unbalance 2
unbearable 1
uncle 1
untrue 1
unwilling 1
up 3
upset 1
use 1
vanessa 16
very 1
vitro 1
wade 2
want 1
wants 1
warms 1
was 2
watch 1
when 2
which 2
while 1
who 5
will 2
wins 1
with 7
working 1
world 1
would 2
years 2
zoe 32
