25780159
/m/09v90n6
/m/09v90n6
James Howe
1979
a 15
able 1
about 1
act 2
address 1
adopt 1
adopting 1
after 5
all 1
also 1
an 1
ancient 1
and 13
antics 1
appears 1
are 2
around 1
as 3
at 6
attribute 1
awakes 1
back 1
bath 1
be 3
becomes 1
before 2
beginning 1
begins 1
behavior 2
being 1
believes 2
black 1
blight 1
blissfully 1
blocking 1
book 1
boys 1
bundle 2
bunnicula 13
but 1
by 2
cage 3
can 1
cape 1
carpathian 1
cat 2
catching 1
causing 1
change 1
chases 1
chester 14
convinced 1
convinces 1
cooperate 1
danger 1
dark 1
day 1
days 1
decide 2
decides 4
dialect 1
diet 1
dinner 1
discovers 1
discussion 1
dish 1
dog 1
dracula 1
drown 1
dry 1
each 1
ends 1
essentially 1
evening 1
family 5
fangs 2
feast 1
feeding 2
few 1
finally 1
first 1
found 2
from 2
garlic 2
get 1
give 1
habits 1
harold 4
has 2
he 10
heart 2
help 1
him 10
himself 2
his 7
holes 1
home 1
however 1
ill 2
in 9
including 1
introduced 1
is 5
it 1
keep 1
killing 1
lands 1
late 1
later 1
like 1
liking 1
liquid 1
locked 1
longer 1
look 1
looks 1
meat 1
monroe 1
monroes 3
movie 1
movies 1
mrs 1
mysterious 1
mysteriously 1
name 1
neck 1
night 2
no 1
note 1
notes 1
notice 1
notices 4
novel 1
of 4
off 1
on 8
one 1
only 1
out 3
outside 1
own 1
pattern 1
permanently 1
pete 1
places 1
point 2
poor 1
prescribed 1
progresses 1
prove 1
punch 1
put 1
putting 1
rabbit 6
reading 2
refuses 1
remaining 1
results 1
return 2
salad 2
seems 1
shortly 1
since 1
sleeping 1
sleeps 1
small 1
so 1
some 1
speaking 1
stake 1
starving 1
stays 1
steak 1
stop 1
stores 1
stormy 1
story 1
strange 3
strews 1
succeeds 1
suck 1
supermarket 1
take 3
takes 2
that 9
the 32
theater 1
their 1
them 1
then 1
therapy 1
there 1
they 7
this 5
through 2
tied 1
tiny 3
to 26
toby 1
tossing 1
tries 2
turning 2
turns 1
two 2
unaware 1
up 2
uses 1
vampire 1
vampires 2
vegetable 2
vegetables 5
vet 3
water 1
we 1
well 1
which 2
white 3
with 6
written 1
