18302404
/m/04cs5l3
/m/04cs5l3
Sergey Lukyanenko

{"/m/070yc": "Space opera", "/m/028v3": "Detective fiction", "/m/06n90": "Science Fiction"}
a 55
ability 1
able 1
about 2
accepting 1
access 1
accident 1
accidentally 1
accuse 1
adolescent 2
advance 1
afraid 1
after 4
again 1
against 2
agent 1
agentspec 1
alex 33
alien 1
aliens 1
all 3
allout 1
allows 1
almost 2
already 1
also 4
alterations 1
although 1
an 11
and 34
another 3
anyone 2
apparently 3
apprehended 1
are 7
around 1
artificially 2
as 10
ask 1
asks 1
assistant 1
at 2
attractive 1
averted 1
avoid 1
bankrupted 1
be 9
become 2
becomes 1
been 5
before 2
begins 3
behavior 1
being 1
believes 1
bend 1
blackrace 1
blocker 2
board 1
body 4
born 1
both 1
bottom 1
bought 1
bound 1
boy 3
brauni 1
brutally 1
but 9
by 3
called 1
cannot 1
captain 1
carrying 2
certain 2
certainly 1
cfortyfourth 1
chance 3
charge 1
cheap 1
child 1
choice 1
choose 1
claims 1
clones 1
collides 1
collision 1
command 1
committed 1
company 2
compartment 1
completely 1
computer 1
confirms 2
connecting 1
connection 1
consciousness 3
consequences 1
constructor 2
contact 1
contacting 1
containing 1
contains 1
continue 1
contract 2
conversing 1
convince 1
convinced 1
copied 1
copilot 1
costs 1
could 1
create 3
created 1
creator 1
credited 1
crew 8
crewmembers 1
crime 2
critically 1
crystal 8
cthird 2
cure 1
czygu 7
dangerous 1
danila 1
days 1
decides 1
decree 1
deed 1
deemed 1
demand 1
demands 1
denied 1
desire 1
destroy 1
destroyed 1
detectivespec 2
devastate 1
differences 1
dine 1
dinner 1
disable 1
disaster 1
discovered 1
do 2
doctor 1
doctors 1
does 2
drops 1
during 4
dying 1
earth 1
ebon 3
eden 3
edgar 14
edward 2
effect 2
emotional 1
emperor 1
empire 2
employee 1
encoded 1
end 1
energeticspec 1
enhancements 1
enormous 1
entering 1
enters 1
escape 1
escaped 1
even 2
every 2
everyone 1
everything 2
executed 2
executes 1
executionerspec 1
expert 1
explained 1
extra 1
extremely 1
eye 1
eyes 1
faced 1
fact 2
fairly 1
falsifying 1
favor 1
feel 1
feeling 4
feelings 1
few 1
figherspec 1
fighterspec 2
find 2
finding 1
finds 5
fine 1
fired 2
five 1
flee 1
flight 1
for 7
forced 3
forces 1
forensics 1
forever 1
forget 1
formula 1
fortunately 1
fortune 1
founding 1
fourteenyearold 1
friend 1
from 4
fruitless 1
further 2
gain 2
garlitsky 6
gelcrystal 4
generalov 3
genetic 3
genius 1
get 1
gets 4
girl 3
give 5
given 1
gives 1
giving 1
goal 1
goes 1
good 1
got 1
great 1
growing 1
grown 1
guidespec 1
had 2
hang 1
happened 1
hard 1
harm 1
has 14
hates 2
have 4
he 26
heiress 1
help 4
helping 1
her 17
herself 1
hetaeraspec 1
hidden 1
hilton 1
him 5
himself 1
hires 2
hiring 1
his 18
holmes 1
home 1
homeworld 1
horrendous 1
hospital 2
hotel 3
how 1
however 3
human 1
humanity 1
hungry 2
hyperchannel 1
hysterical 1
id 2
identification 1
identity 2
if 1
immediate 1
immediately 1
imperial 1
in 19
incapable 2
include 1
inconsistencies 1
inside 1
instead 1
investigation 1
invites 1
is 38
it 8
itself 1
janet 4
jenny 1
job 2
just 1
justice 1
kick 1
killer 4
killing 1
kim 25
know 2
knows 1
lab 3
landing 1
large 1
last 1
later 1
latter 1
left 2
legendary 1
lift 1
like 2
locates 1
long 2
longdead 1
looking 1
loses 1
loss 1
love 4
loving 2
lurie 1
made 2
makes 1
managed 1
married 1
meaning 1
means 2
medicine 1
meeting 1
meets 2
member 2
mercury 1
metamorphosis 3
military 1
mirror 4
miss 1
modifications 1
money 2
months 1
more 1
morning 1
morrison 1
mother 1
motive 1
murder 1
murdered 1
murderer 1
must 1
name 2
named 5
natural 1
navigatornatural 1
nearly 2
necessary 1
needs 1
network 2
neural 1
new 5
nineteenyearold 1
no 7
not 11
now 1
oath 1
object 1
obtain 1
of 36
offer 1
ohara 2
on 13
oncemighty 1
one 6
only 4
onto 1
opportunity 1
or 3
orbit 1
order 1
ordered 1
orders 1
other 3
out 14
overnight 1
overseers 1
own 2
owner 1
owners 1
pak 2
passengers 3
pathologically 1
paul 1
people 1
perfect 1
perform 1
perished 1
person 1
personal 1
personality 2
personally 1
peter 1
pharmaceutical 1
physical 1
physically 2
pilotspec 4
place 2
planet 8
planets 1
plans 1
pleasant 1
pleasurable 1
pleasures 1
points 1
police 1
poor 1
possible 1
possibly 1
post 1
pouch 1
power 1
powerful 1
preferring 1
preparing 1
pretending 1
preventing 1
prisoner 1
problem 1
problematic 1
process 3
professional 1
programmed 1
proof 1
prospects 1
protected 1
psychologically 1
public 1
qualified 1
quarantine 1
quarantined 1
quarters 1
quick 1
quickly 1
race 1
races 2
ready 1
realizes 1
really 1
reason 1
receives 1
refuses 1
remains 1
requested 1
requirements 1
results 1
retain 1
return 1
returns 1
reveal 1
reveals 3
right 1
risking 1
robot 1
romanov 1
romanova 1
room 1
ruelo 2
rules 1
runaway 1
saw 1
science 1
search 1
secret 4
see 1
seen 1
sees 1
seiso 3
sense 1
served 1
several 1
sex 1
shadows 1
she 8
sherlock 1
ship 9
show 1
shustov 1
sign 1
simply 1
since 1
situation 1
six 1
skeptical 1
sky 2
small 1
so 4
someone 1
sorrow 1
space 1
spec 5
specialized 1
species 1
specific 1
specification 4
specifications 3
specs 1
spent 2
stand 1
still 1
stomach 1
stop 1
stops 1
story 1
substance 4
