5409030
/m/0dkk93
/m/0dkk93
Steve Lyons

{"/m/014dfn": "Speculative fiction"}
2002 1
a 27
abandon 1
able 1
aboard 1
about 5
above 1
accomplices 1
according 1
accuses 2
accusing 1
ace 10
acknowledges 1
acme 1
admit 1
admits 1
adventure 1
adventures 1
after 2
again 3
agrees 2
alienating 1
aliens 2
allowing 1
alone 1
along 1
already 1
also 2
althosian 1
always 1
an 2
and 110
angry 1
anomalies 1
any 1
appalled 1
apparently 1
appears 1
archvillains 1
are 8
army 1
around 2
arrest 3
arrested 2
as 22
assassinate 3
assassinated 1
at 9
attack 1
attacked 1
attempt 1
attention 1
avalone 1
away 2
back 4
bambera 1
battle 1
battletank 1
be 5
beat 1
because 1
become 2
been 5
before 3
begun 1
beliefs 1
believe 2
believes 2
believing 1
benny 10
betrayal 1
betrayed 1
better 1
bigger 1
bitter 1
blame 1
bleed 1
blowing 1
boils 1
both 1
braveryexcept 1
break 1
brigadier 1
britain 1
british 1
broken 1
buckingham 3
bullets 1
burn 1
busy 1
but 25
by 14
bystanders 1
cafe 1
callous 1
can 3
cant 1
captured 1
cartoon 1
case 1
casually 1
causing 1
centre 1
champion 2
chance 1
chest 1
choice 2
chris 18
citadel 4
civil 1
claim 3
claims 1
classes 2
clever 1
close 1
closed 1
closes 1
cloud 1
combination 1
come 2
coming 1
commit 1
committing 1
companion 2
companions 6
complicated 1
concluding 2
conduct 1
confines 1
confront 2
confronted 1
confused 1
constructive 1
contact 2
continue 1
control 1
controls 1
convinces 1
coordinates 1
corridors 1
could 2
course 1
created 3
crime 1
crimes 2
criminals 1
crystal 3
crystallised 1
crystals 2
cultists 1
culture 1
current 1
cutting 1
damage 1
dangerous 1
darnak 4
day 1
deal 1
death 2
decide 2
decides 2
deciding 1
decimated 1
decrepit 1
dedicate 1
deep 1
defeat 2
defeating 1
defeats 1
delay 1
delayed 1
deliberately 1
delighted 1
denial 1
depart 1
deprivation 1
descend 1
despair 1
destroy 3
destroyed 1
destroying 1
destruction 2
detect 1
detrian 1
detrians 6
detrianswhich 1
detrios 8
dictatorship 1
dictatorships 1
didnt 1
dies 1
dinosaur 2
dinosaurs 5
discovers 1
disoriented 1
distracts 1
diverted 1
do 2
doctor 38
doctorbut 1
doctors 6
does 1
doesand 1
doesnt 1
doing 1
done 1
doomed 1
double 1
down 5
