1680138
/m/05mvw7
/m/05mvw7
Mildred Taylor
1976
a 12
about 6
after 1
against 1
agrees 1
all 1
almost 1
along 1
also 1
ambush 1
an 1
and 34
angry 1
apologize 1
are 2
as 5
asks 1
assailant 1
at 1
back 1
badly 1
band 1
bank 1
barnett 3
be 3
beat 1
beats 1
because 4
become 1
begins 2
being 2
believes 1
berry 1
berrys 1
between 1
big 4
black 2
blacks 1
blames 1
board 1
book 3
books 2
both 1
boycott 4
brags 1
bring 1
broken 1
brothers 2
bumps 1
burned 1
but 6
by 1
calling 1
careful 1
carrying 1
cassie 14
castoffs 1
catches 1
caught 1
cause 2
change 1
chart 1
chases 1
cheating 1
cheats 1
chester 1
chicago 1
children 3
christmas 3
christopherjohn 1
classroom 1
clayton 1
coat 2
comes 3
community 1
complains 1
condition 2
contain 1
continues 1
cotton 1
could 2
countyissued 1
covers 1
crocker 2
customer 1
day 3
despite 1
dewberry 1
die 1
dirty 1
disfigured 1
disobeyed 1
does 1
doesnt 1
early 2
ensuing 1
even 2
every 1
failing 1
falsehoods 1
farmers 1
father 1
field 1
find 1
finds 1
fire 2
fires 1
follows 1
for 9
forbidden 1
forced 1
forces 1
frame 1
friend 1
friends 2
from 3
get 1
gets 1
gifts 1
girl 1
give 1
gives 4
giving 1
go 3
goes 1
goods 1
grandmother 1
granger 4
had 1
hammer 4
hangs 1
harlan 1
has 1
he 6
her 12
him 6
his 1
history 1
home 2
how 1
hurts 1
in 7
incident 1
instead 1
insulting 2
into 3
is 7
it 3
j 1
jamison 2
jean 6
jeremy 2
jim 1
john 1
kaleb 2
kids 1
land 3
lawyer 1
leads 2
leave 1
lee 1
leg 1
like 1
lillian 6
little 3
loan 1
logan 7
logans 2
lunch 1
lying 1
lynch 1
lynching 2
ma 4
makes 1
man 4
market 1
meanwhile 1
meets 1
melvin 2
member 1
mercantile 1
miss 3
mob 1
more 1
morrison 3
most 1
mother 2
mr 10
mrs 6
much 1
murder 1
murderous 1
nearby 1
never 1
new 1
next 2
night 2
nigra 1
not 1
now 1
of 12
office 1
on 6
once 1
one 2
ones 1
or 1
order 1
out 2
outside 1
page 1
pages 1
papa 13
papers 1
passes 1
pay 1
peace 1
people 1
persuades 1
poor 1
present 1
pretending 1
punishing 1
r 1
race 2
racist 1
ranging 1
rat 1
recruits 1
refuses 2
requiring 1
returns 1
robbery 2
rogue 1
rw 1
saying 1
says 2
school 4
see 1
sell 1
sells 1
serving 1
she 4
sheets 1
sheriff 1
shot 1
should 1
signatures 1
signs 1
simms 3
sold 1
son 1
soon 2
speaks 1
spring 1
stacey 13
start 1
started 1
staying 1
stop 3
stops 1
store 6
strawberry 1
student 2
survives 1
t 1
take 1
taken 1
takes 4
talks 1
teach 1
teacher 2
teenagers 1
telling 1
tells 3
test 1
textbooks 2
that 3
the 53
their 7
them 8
then 1
there 3
they 6
this 2
though 1
thurston 1
time 2
tj 9
to 26
together 1
town 2
trouble 3
troublemaking 1
trusting 1
two 1
uncle 1
until 1
up 5
very 1
vicksburg 1
visiting 2
visits 3
w 1
wait 1
walk 1
wallace 7
wallaces 1
warns 1
was 1
way 2
were 1
when 3
where 3
which 1
whips 2
white 6
whites 1
who 4
will 1
wishes 1
with 8
woods 1
wool 1
wornout 1
yet 1
