9590436
/m/02pl27x
/m/02pl27x
Scott Anderson
1998
{"/m/05hgj": "Novel"}
18 1
a 6
accept 1
after 3
again 1
alarmed 1
all 2
also 1
an 1
and 8
as 1
assignment 1
attempt 1
back 1
begin 1
behavior 1
being 1
both 1
but 1
by 1
calm 1
can 2
cave 1
civil 1
close 1
colin 1
consciencestricken 1
contact 1
continues 1
could 1
days 1
dead 1
despite 1
deteriorate 1
diane 1
dilapidated 1
disapproval 1
discovery 1
distraction 1
each 1
elena 5
ended 1
eventually 1
explain 1
extraordinary 1
few 1
find 1
force 1
forge 1
friend 1
frightening 1
from 1
girlfriend 1
gone 1
granada 1
granddaughter 1
grandfather 2
grows 1
had 1
has 1
haunted 1
haven 1
he 2
heal 2
help 1
her 2
him 2
his 5
home 1
hospital 1
husband 1
in 9
inability 1
incurrables 1
injured 1
inside 1
into 1
is 3
it 1
joaquin 3
know 1
knowing 1
kurdistan 1
last 1
learning 1
life 1
lifealtering 1
love 1
manor 1
mark 7
men 2
missing 1
more 2
new 1
not 1
of 5
officers 1
on 1
once 1
onto 1
other 1
overcrowded 1
person 1
photographer 2
pregnant 1
purifying 1
recovery 1
relationship 1
returns 1
role 1
romantic 1
safe 1
same 1
save 1
scene 1
secrets 2
sees 1
she 2
sleeplessness 1
so 1
spain 1
spanish 3
spent 1
strange 1
surface 1
sweeps 1
that 3
the 8
this 2
three 1
to 10
travel 1
treating 1
tries 1
two 1
valley 1
very 1
walsh 1
wants 1
war 3
ward 1
way 1
where 2
which 1
while 1
whilst 1
whom 1
whose 1
with 2
wounds 1
york 1
young 1
zone 1
