173974
/m/017gsf
/m/017gsf
John Bunyan
1678-02
{"/m/014dfn": "Speculative fiction"}
1684 1
234 1
34immanuel3s 1
34perspective 1
412 1
61118 1
a 26
abandons 1
able 1
about 1
abundant 1
accidents 1
accommodate 1
accompanies 1
accompany 2
acquired 1
across 1
added 1
addition 1
advantage 1
after 5
against 2
alexander 1
all 2
allegorical 1
allegorically 2
allegorizes 1
allegory 2
allowed 1
along 2
also 2
amidst 1
an 2
and 51
any 1
apollyon 3
appeared 1
appears 1
appointment 1
are 9
armour 1
around 1
arrested 1
art 1
as 14
aspects 1
assures 1
at 8
atop 2
away 2
back 1
baptism 1
battle 2
be 8
beam 1
beaten 1
beautiful 1
because 1
before 3
beginning 1
begins 1
behind 2
being 2
believed 1
believes 1
better 1
between 1
beulah 2
bible 2
boat 1
bog 1
book 2
both 2
bound 1
brave 1
break 1
bring 1
broadened 1
brother 1
bunyan 2
bunyan3s 1
burden 6
business 1
but 8
by 13
bypath 1
byways 1
called 1
calvary 1
came 1
can 1
cannot 2
captured 1
cast 1
castle 2
cause 1
celestial 10
centres 1
challenged 1
character 1
charity 1
childbirth 1
children 3
christ 2
christian 42
christian3s 2
christiana 1
christiana3s 1
christians 1
church 1
city 13
civility 1
claims 1
clarifies 1
clear 1
clothed 1
come 1
comfort 2
commission 1
commit 1
companion 1
congregation 1
constitute 1
contrast 1
cries 1
cross 5
crush 1
cut 1
dangerous 1
day 2
days 1
death 7
deeds 1
delectable 1
deliverance 5
denotes 1
deny 1
despair 1
despond 1
destruction 2
detained 1
device 1
difficulty 1
directed 1
directs 3
disdain 1
disgusted 1
disputations 1
distance 1
diverted 1
do 1
does 1
doors 1
doubt 1
doubtful 1
doubting 2
down 1
dragon 1
dramatize 1
earlier 1
early 1
easier 1
emblems 1
enchanted 1
encouraged 1
end 2
endure 1
english 2
enter 1
enters 1
eph 1
escape 1
essay 1
evangelist 4
event 1
ever 1
everyday 1
everyman 1
evil 1
executed 1
exemplified 1
fair 3
faith 3
faithful 3
faithful3s 1
fall 1
falls 1
families 1
family 1
fear 1
feeblemind 1
feebleminded 1
ferry 1
fields 1
figures 1
finally 1
first 2
foot 1
for 9
forces 1
form 1
former 1
forward 1
four 3
frailness 1
friend 1
from 6
gaius3 1
gaius3s 1
garments 1
gate 7
gatekeeper 1
gates 2
getting 2
giant 2
giants 1
gift 1
give 1
given 1
glass34 1
gloom 1
go 5
god3s 1
gone 1
good 4
goodwill 1
grace 1
great 1
greatest 1
greatheart 2
greeted 1
greeting 1
ground 1
guide 1
had 2
half 1
hand 1
hangs 1
happens 1
hardships 1
has 3
have 2
hazards 1
he 22
heard 1
hears 1
heaven 1
heb 1
hell 3
help 3
helps 1
her 1
here 1
hero 1
heroines 1
highway 3
hill 1
him 15
himself 3
his 25
home 2
hometown 1
hope 2
hopeful 6
hopeful3s 1
hoping 1
house 4
humiliation 1
i 5
idea 1
if 1
ignorance 4
ii 1
illustrates 1
immediate 1
importance 1
imprisoned 1
in 31
incidents 1
include 1
indicative 1
individuals 1
influential 1
inn 2
interpreter 4
into 11
is 27
it 10
itself 1
jesus 1
journey 6
joys 1
just 1
justifies 1
key 2
kills 1
king 1
king3s 1
knowledge 1
known 1
lad 1
land 2
land34 1
language 1
last 1
lasts 1
law 1
leads 1
leave 1
leaves 4
left 2
legality 2
lend 1
lies 1
life 3
light 1
lingers 1
local 1
longer 1
lord 1
m 1
made 1
maiden 1
make 1
makes 2
manages 1
marriage 1
martyr 1
matter 1
me 2
meadow 1
measure 1
meet 2
meets 3
men 2
mentally 1
mercy 2
mere 1
middle 1
monster 1
morality 1
more 2
morning 1
most 1
mount 3
mountains 1
mr 3
mt 1
much 1
must 2
named 1
narrative 2
narrow 1
need 1
needs 1
new 2
next 1
night 3
no 1
not 2
numerous 1
obstinate 2
of 89
on 9
one 1
ones 2
onto 1
open 3
opinionative 1
or 2
ordeal 1
order 2
orders 1
other 2
our 1
ourselves 1
out 4
outside 1
outweigh 1
over 6
overcoming 1
own 2
paradise 1
part 8
participates 1
parts 1
party 2
pass 1
passage 1
passport 2
peace 1
persists 1
persuade 2
persuaded 1
persuasion 1
physically 1
pictures 1
pilgrim 3
pilgrim3s 1
pilgrimage 3
pilgrims 5
place 5
places 1
pliable 4
portray 1
possibly 1
practical 1
prefatory 1
presents 1
professor 1
progress 3
promise 1
protagonist 1
psalm 2
pulled 1
put 1
query 1
quickly 1
rainstorm 1
rather 3
reaches 1
reading 1
ready 1
reality 1
realizes 1
recorded 1
reference 1
reflected 1
refuses 1
reinforces 1
relatively 1
relief 1
relieved 1
religious 1
remain 1
remedied 1
repetition 1
request 1
resident 2
rest 1
returns 1
right 1
rises 1
river 4
road 2
rod 1
roger 1
rolls 1
rough 2
sake 1
same 1
save 1
scroll 1
second 6
see 2
seek 1
seeking 1
sees 1
sepulcher 1
sepulchre 1
sequel 1
servant 1
serves 1
shadow 4
shall 1
sharrock 1
shepherd3s 1
shepherds 1
shining 3
short 1
should 1
show 1
shown 3
shows 1
side 1
sights 1
sin 1
sinai 1
since 1
sink 1
sinned 1
sinning 1
slaying 1
slough 1
so 1
some 2
son 1
sons 3
sped 1
spend 1
spends 1
spoken 1
spotlight 1
spread 1
staff 1
stage 1
stands 1
starved 1
stead 1
stop 1
stopping 1
stops 1
story 3
straight 1
straps 1
strengthen 1
stretch 1
struggling 1
suicide 1
sun 1
support 2
supposedly 1
sword 1
tableaux 1
take 3
takes 2
telescope 1
tend 1
terror 1
terrorizes 1
than 4
that 18
the 158
their 5
them 8
themselves 1
there 3
these 1
they 12
things 2
thinks 1
this 8
those 1
thou 1
though 1
threatens 1
three 2
through 7
throw 1
thy 2
time 2
to 52
tophet 1
travel 1
trial 1
try 1
turn 1
turning 1
twentythird 1
twice 1
two 2
twoedged 1
unbearable 1
university 1
until 2
up 2
us 1
using 2
vain 1
valley 7
vanity 4
village 1
virtues 1
visit 1
visited 1
volume 1
wading 1
wait 1
walk 1
walking 1
wants 1
wares 1
warn 1
way 9
wayward 1
we 5
weak 1
weighed 1
welcomed 2
well 1
when 4
where 7
which 11
who 8
whole 2
wicket 7
wife 2
will 11
wings 1
wiseman 1
with 10
witherspoon 1
without 3
wives 1
women 3
wonders 1
words 2
world 1
worldly 1
would 3
wound 1
writes 1
written 1
yale 1
yea 1
years 1
you 6
your 1
zion 2
