20830044
/m/053kt40
/m/053kt40
Jo Nesbø
2005
11 2
14year 1
2003 1
5000000 2
a 26
about 2
accessory 1
act 1
action 1
after 2
aftermath 1
airport 1
all 1
already 1
also 5
an 6
and 20
annoy 1
anomaly 1
another 2
antique 1
any 1
anyone 1
anything 1
apartment 2
are 4
armed 1
army 7
arrest 1
arrives 1
as 6
aspect 1
assailant 1
assassin 1
assigned 1
at 5
atrocities 1
attack 1
attacked 1
attempt 1
away 1
bag 1
battle 1
be 5
beate 1
beatte 1
because 1
become 3
been 4
before 1
begins 2
behind 1
being 2
believed 1
believing 1
bergen 1
best 1
bjarne 2
blamed 1
block 2
blood 2
book 3
boss 1
both 1
breakup 1
brother 3
but 5
by 8
called 2
calling 1
camp 1
can 1
carrying 1
catches 2
center 1
chapter 1
character 2
christmas 2
cities 1
claiming 1
clothes 1
clue 1
clues 1
colleagues 1
committed 1
concert 3
confession 2
contact 1
contains 1
continues 1
contract 1
contracted 1
corrupt 1
could 2
country 1
court 1
croat 2
croatia 2
customer 2
damage 1
daughter 1
day 1
dead 3
deal 1
dealer 1
describes 1
describing 1
despite 1
details 1
did 1
difference 1
discovers 1
distance 1
dna 1
do 1
does 3
due 2
during 2
earlier 2
effect 1
elects 1
episodes 1
european 1
even 1
eventually 1
ever 1
everything 1
face 1
facial 2
family 1
fatally 2
father 1
fighter 1
finds 1
flashbacks 2
flat 1
flee 1
fly 1
follow 1
for 4
force 1
formed 1
former 3
found 1
free 1
from 6
full 1
gave 1
gesture 1
get 2
gets 1
gifts 1
girl 1
girlfriend 3
girls 1
give 1
given 2
gives 1
goes 1
going 1
group 1
grows 1
gun 1
gunnar 1
had 1
hagen 1
hall 1
halvorsen 7
happening 1
harry 18
has 5
have 2
having 1
he 8
head 1
heard 1
her 2
hierarchical 1
high 1
him 8
himself 2
his 13
hit 1
hitman 3
hole 3
honest 1
however 2
hyperelasticity 1
identification 1
identity 1
ill 1
impression 1
in 22
inadmissible 1
incessant 1
incident 1
includes 2
indoor 1
information 1
inspector 1
instead 1
integral 1
involved 1
is 21
it 6
its 1
jack 1
jon 16
karlsen 10
kill 1
killed 1
killing 1
killings 1
kills 1
know 1
known 1
knows 2
krone 2
later 4
lead 1
left 1
life 1
little 2
lnn 1
looked 1
lundhelgesen 1
made 1
main 2
major 2
makes 2
man 6
manipulated 1
marksman 1
martine 2
match 1
matthias 1
meanwhile 1
meets 1
men 1
mention 1
militias 1
minder 1
mller 5
mother 1
motives 1
moves 1
murder 5
murderer 1
muscles 1
must 1
mystery 1
name 1
narrator 1
nearimpossible 1
nemesis 1
next 1
nickname 1
night 1
norway 1
norwegian 2
not 7
notice 1
novel 2
now 2
number 1
numerous 2
obliterated 1
of 31
officer 2
officers 2
official 1
old 1
on 6
one 1
ordeal 1
order 1
oslo 2
out 4
outside 1
owing 1
packed 1
paid 1
part 1
parting 1
parts 1
past 2
people 1
person 1
place 2
places 1
play 1
plot 2
point 2
police 5
posed 1
present 1
professional 1
public 2
pulled 1
puts 1
rakel 1
rape 1
raped 3
raping 1
reader 1
realises 1
received 1
recognizing 1
recovers 1
redbreast 1
redeemer 2
regarding 1
regularly 1
relationship 1
remain 1
reminiscences 1
replaced 1
reputation 1
retires 1
returning 1
revealed 1
revelation 1
robert 3
roles 1
run 1
said 1
salvation 7
same 1
save 1
scattered 1
scene 1
second 1
secondhand 1
seen 1
senior 2
serb 1
set 1
setting 1
setup 1
several 1
severely 1
she 1
shot 2
similar 2
since 1
single 1
site 1
snow 1
snowman 1
so 1
some 2
son 1
speak 1
stands 1
stankic 12
start 1
stating 1
stop 1
street 1
strict 1
such 1
swindling 1
switched 1
tell 1
tells 2
terminal 1
thailand 1
that 18
the 80
thea 2
them 2
there 2
these 1
this 1
though 1
three 1
throughout 1
throws 1
ticking 1
to 30
toilet 2
told 1
tom 1
took 1
trigger 1
trying 1
two 2
unbeknownst 1
unknown 1
unravelled 1
unreliable 1
up 5
upon 1
useful 1
valuation 1
various 1
very 1
victorious 1
view 1
vivid 1
voluntarily 1
vukovar 2
waaler 1
walks 1
war 1
was 8
watch 1
wearing 1
wellmeaning 1
what 1
when 2
wherein 1
which 3
who 10
whose 1
will 2
window 1
with 9
woman 1
world 1
would 2
wounded 2
wristwatch 1
years 2
young 5
youth 1
yugoslavia 1
