2445043
/m/07dk45
/m/07dk45
Holly Black
2007-04-24
{"/m/01hmnh": "Fantasy", "/m/02vzzv": "Urban fantasy", "/m/03mfnf": "Young adult literature"}
a 16
able 1
ago 1
agrees 1
also 1
an 2
and 16
any 1
anything 1
army 1
as 3
asks 2
attempts 1
back 5
bar 1
bargain 1
bathroom 1
battle 1
be 2
beat 1
beats 1
because 2
been 1
being 1
believed 1
belongs 1
both 2
breath 1
bribing 1
bright 2
bring 1
brother 1
but 6
by 2
can 4
cannot 1
champion 2
changeling 1
character 2
chooses 1
claiming 1
coffee 1
come 1
complete 1
controls 1
convinced 1
corney 1
corny 5
coronation 1
could 1
counterpart 1
court 7
courts 2
crown 2
curses 1
damned 1
daughter 1
decide 1
decides 1
declare 1
declares 2
declaring 1
defeat 1
described 1
die 1
does 2
easily 1
ellen 1
escapes 1
ethine 7
even 1
exchange 1
exiled 1
exist 1
fae 2
faerie 2
faery 6
faerys 1
fair 1
fake 1
fight 1
find 3
finds 1
for 4
friend 1
from 1
games 1
gathered 1
get 1
give 1
given 2
gives 1
goes 2
going 1
ground 1
had 1
half 1
has 3
hate 1
have 1
he 6
heir 1
held 1
her 17
herself 1
him 5
his 3
holds 1
horror 1
hostage 1
human 2
if 3
impossible 2
in 15
instead 2
ironside 3
is 11
it 3
itself 1
kaye 17
killing 1
kills 1
knight 1
knows 1
last 1
later 1
left 1
lie 3
life 1
lifeline 1
long 2
longer 1
love 1
luis 1
lying 2
make 1
male 1
malevolent 1
mean 1
means 1
meanwhile 1
midst 1
miserable 1
modern 1
mother 2
mothers 1
must 1
name 2
necessary 1
no 1
not 2
novel 1
now 3
nowhere 1
objects 1
of 11
off 1
offering 1
on 5
once 1
one 2
only 1
open 1
or 2
order 1
out 1
over 1
overwhelm 1
pass 1
pawn 1
pay 1
peace 3
perform 1
pixie 1
place 1
placing 1
plans 1
previous 1
previously 1
price 1
protagonist 1
queen 4
quest 3
real 1
realm 2
release 1
return 1
reveals 2
right 1
roiben 13
roibens 2
rules 1
say 1
saying 1
see 1
seelie 5
seemingly 1
seen 1
sends 2
seven 1
she 18
shock 1
shop 1
silarial 9
simply 1
sister 3
so 1
speak 2
speaks 1
spend 1
states 1
stolen 1
successor 1
sure 1
sword 1
take 1
talathain 1
tale 1
tell 2
tells 3
that 13
the 34
their 1
themselves 1
then 3
they 2
thing 2
this 2
threatens 1
throne 2
time 2
to 25
touches 1
truth 1
trying 1
unaware 1
uneasy 1
unless 1
unseelie 3
untruth 1
use 2
uses 1
valiant 1
void 1
wants 1
warn 1
was 4
watch 1
watching 1
were 1
when 1
which 2
while 2
who 3
will 5
win 1
wine 1
with 5
withers 1
world 1
would 1
years 1
