13661164
/m/03cdc0g
/m/03cdc0g
Mario Puzo
2000
16 1
51 1
a 20
able 2
accounts 1
advice 1
affair 2
after 3
alive 1
all 4
along 1
also 1
america 1
an 1
and 29
any 1
aprile 24
are 5
area 1
argument 1
as 7
asks 1
associates 1
astorre 25
at 2
attack 1
attend 1
authorities 2
avoid 1
back 2
baffled 1
bank 2
banker 1
banking 1
banks 8
be 3
been 2
begin 1
begins 2
bianco 2
boarding 1
book 1
boy 1
bright 1
bring 1
brothers 1
business 3
but 6
by 2
captors 1
careers 1
charge 1
child 3
children 6
claiming 1
college 1
come 1
comes 1
commences 1
communion 2
completed 1
completely 1
consider 1
considering 1
consistently 1
consultant 1
consultations 1
consulting 1
continues 1
control 1
controlling 1
cosca 2
cousin 1
criminal 1
dangerous 1
daughter 1
day 2
death 3
decides 3
declines 1
demeanor 1
details 1
detection 1
determination 1
dies 2
do 1
does 2
don 13
done 1
drawing 1
driveby 1
drug 1
due 1
during 3
each 2
eliminate 1
escape 1
even 1
evenly 1
eventually 1
execute 1
fair 1
faithful 1
family 2
far 1
father 3
fathers 1
favorite 1
film 1
finds 2
firm 1
first 2
follow 1
following 1
for 8
found 1
friend 3
friendly 1
friends 2
from 4
futures 1
general 1
get 1
gives 1
go 2
going 1
goodnatured 1
had 3
has 4
have 1
having 1
he 11
head 1
help 1
her 1
highranking 1
him 9
his 23
hitmen 1
holding 1
holidays 1
how 1
however 1
idea 1
if 1
illicit 1
importing 1
impressed 1
in 20
industry 1
infant 1
innocent 1
instructions 1
instructs 1
interests 1
international 2
into 1
investigation 1
invites 1
involved 1
is 11
it 1
keeping 1
kidnappers 2
kidnaps 1
kill 1
killers 1
known 1
lacked 1
later 1
launder 1
law 1
lawyer 1
left 3
legitimate 1
let 1
life 1
lives 2
london 3
love 1
loyal 1
macaroni 1
mafia 1
majority 2
makes 1
manager 1
marcantonio 1
marries 1
meant 1
meanwhile 1
meets 1
men 2
merciless 1
methodically 1
middle 1
military 1
miserable 1
money 1
more 1
move 2
mr 1
murder 1
must 1
naive 1
name 1
named 1
negotiate 1
nephew 1
new 2
nicole 4
night 1
no 1
not 6
obeys 1
of 20
off 1
offers 1
officer 1
old 2
oldest 1
on 2
one 3
only 4
order 1
ordered 1
orders 1
organization 1
out 1
over 1
owning 1
owns 1
partners 1
passes 1
pays 1
people 2
permanently 1
picked 1
politely 1
portella 1
possible 1
power 1
powerful 1
private 1
producer 1
prolific 1
prominent 1
protect 2
protector 1
pryor 1
public 1
purchase 1
ransom 1
raymonde 2
realize 1
reason 1
recounting 1
rejects 1
relationship 1
remaining 1
removed 1
rescues 1
respective 1
responsible 1
rest 2
retire 1
returns 1
romantic 2
rosie 2
save 1
schools 1
secure 1
securing 1
see 2
seeing 1
seeks 1
sees 1
sell 1
selling 1
sends 1
servants 1
serving 1
settles 1
share 2
she 1
shooting 1
should 1
sicily 6
significant 1
small 1
so 1
sold 1
some 1
son 4
spite 1
start 1
starts 1
stay 1
staying 1
stays 1
stock 1
stop 1
streets 1
strength 1
subsequent 1
successful 1
suggest 1
summer 1
suspect 1
take 1
taken 1
ten 2
than 1
that 11
the 55
their 9
them 7
themselves 1
then 1
there 3
these 1
they 10
thinking 1
this 1
those 1
though 1
thought 1
through 1
thus 1
time 4
times 1
timmona 1
to 38
training 2
treat 1
tries 1
trouble 1
trying 1
turns 1
tv 2
two 3
uncle 2
under 1
until 1
upon 1
upset 1
valerius 2
voting 1
walking 1
want 5
wants 1
warns 1
well 1
when 4
where 1
which 2
while 2
who 3
whom 2
why 1
widower 1
will 4
with 11
without 3
woman 1
working 1
writes 1
year 1
years 3
york 2
you 1
young 2
youngest 1
your 1
zeno 3
