726183
/m/035_n3
/m/035_n3
Matthew Reilly
2001-10-31
{"/m/017rf8": "Techno-thriller", "/m/02xlf": "Fiction"}
0nbspminutes 1
120 1
14 1
15 1
50 1
6 1
7 25
747 1
7th 24
8 1
a 60
achieving 1
activated 1
acts 1
addition 1
advance 2
adviser 1
african 2
after 10
against 3
agent 6
agents 3
aid 1
air 3
airports 1
allowing 1
alpha 4
already 1
also 3
although 4
america 3
american 7
among 1
amount 1
an 4
and 44
another 2
answers 1
antagonist 1
antibodies 1
are 6
area 25
army 1
around 1
as 12
ashley 1
asian 1
assassinate 2
assassination 2
assigned 1
at 3
attached 1
attempt 2
attempted 9
auxiliary 1
avenge 1
back 1
baker 1
base 7
based 2
be 2
beating 1
beats 1
bedroom 1
been 5
before 2
behind 1
being 8
betrayed 2
between 1
biological 2
blast 3
block 1
blood 1
boa 1
book 6
both 1
botha 4
boy 2
braniac 2
bravo 4
briefcase 1
bring 1
brotherhood 1
bruno 1
brutal 1
buck 2
but 2
by 42
caesar 13
calvin 2
cannibalism 1
capital 1
captain 7
career 1
carl 1
carney 2
carry 1
casualties 1
cell 1
cells 1
charles 2
charlie 2
chase 1
cheated 1
check 1
chet 1
chinese 10
cities 2
classified 1
close 4
cobra 1
codes 1
colleague 1
colonel 4
colt 1
combat 1
come 1
comes 1
commander 6
commanding 2
commandos 9
commence 1
committed 1
complex 2
confederate 1
containing 1
control 4
copilot 1
corbin 1
corporal 1
could 1
create 1
criminal 1
cryptanalyst 1
cube 1
curtis 1
cutler 1
dallas 1
david 1
day 6
death 3
deceased 2
decoy 1
defence 1
delta 2
descent 1
despite 1
destroying 1
detail 6
detonate 1
detonation 1
develop 1
developed 1
dia 1
differentiates 1
direct 1
discovered 1
discovering 1
doctor 2
doesnt 1
dollars 1
domestic 1
down 1
dr 1
during 3
echo 3
efforts 1
elected 1
elements 3
elite 1
elizabeth 2
elvis 4
ended 4
ending 1
energy 1
engineered 2
escape 7
escaped 1
escaping 1
evacuate 1
events 8
every 1
executed 1
exits 2
experienced 1
experiments 1
explains 1
explode 1
face 1
failure 5
fairfax 2
fashion 1
father 1
finally 1
find 3
fingerprint 1
fleeing 1
foil 2
foiled 4
foiling 1
follow 1
football 4
for 9
force 4
former 4
found 1
four 2
fox 3
francis 1
franklin 1
friend 4
from 14
full 1
gant 4
gena 2
general 3
genetically 2
genius 1
giving 1
goliath 1
gorman 1
government 5
grier 2
grimshaw 4
ground 1
group 4
guinea 1
gunnery 2
gunther 2
gus 1
had 1
hagerty 2
hand 1
hangar 1
harper 3
has 5
have 6
haynes 1
he 33
heart 3
held 2
help 1
hendricks 1
her 1
herbert 1
highly 2
highlylethal 1
hijacks 1
him 6
himself 2
his 13
horrified 1
hot 1
house 1
however 3
human 1
if 1
ii 6
iii 1
immune 1
immunologist 1
important 1
imprisoned 1
in 37
inauguration 1
including 2
inflicting 1
initiated 1
injured 1
inside 1
installation 1
into 2
involved 1
involving 2
is 17
it 6
itarea 1
its 1
james 1
janson 2
jerome 1
jk 1
jr 2
juliet 1
julio 1
kamikaze 1
kept 1
kevin 13
keys 1
killed 31
killer 3
killing 1
kinetic 1
known 3
kurt 1
labeled 1
lake 1
last 1
later 7
launch 1
leader 5
league 1
leagued 2
leary 3
lee 1
level 1
lewicky 1
li 1
liaison 1
lieutenant 4
light 1
likely 1
lilywhite 1
lives 1
lockdown 1
locked 1
logan 1
long 1
longplanned 2
love 4
loyal 1
lucifer 2
luther 1
machine 4
main 3
major 1
majority 1
make 1
making 1
man 1
managed 4
marine 10
marines 4
mastermind 1
mcconnell 1
meanwhile 1
meets 1
member 4
members 2
mentioned 1
messages 3
michael 1
michelle 1
military 2
million 1
moment 1
mortally 1
most 3
mother 4
mounted 1
moving 1
must 1
named 2
never 3
new 1
newman 2
nicholas 1
northern 1
not 1
novel 6
now 1
nuclear 3
of 70
off 1
officer 9
old 1
on 9
one 14
only 1
onto 1
opened 1
opening 2
operation 1
order 1
ordered 3
organization 1
out 2
over 2
overall 1
overrode 1
paid 1
people 2
person 1
pigmentation 1
pigs 1
pilot 1
place 3
plan 9
plans 1
plasma 1
plunged 1
policy 1
pompous 1
possession 1
powell 1
power 2
powered 1
president 29
presumed 3
prevent 2
prisoners 5
problack 1
process 1
produce 1
progress 1
projects 1
protagonist 1
protect 1
protective 1
python 1
questioned 1
race 2
racial 1
racist 1
raid 3
ramondo 1
ramrod 1
reach 1
realize 1
reason 1
reccondo 2
reccondos 2
receive 1
receives 1
reeves 1
regarded 1
relating 1
released 1
remove 2
rescue 1
responsible 2
result 1
resulting 1
retreat 1
retrieve 2
retrieved 1
retrieving 1
revealed 2
reveals 1
revived 1
revolution 2
revolutionary 3
righthand 1
riley 3
robert 1
rod 1
rodney 1
rogue 2
romanzo 1
running 1
russell 2
same 1
satellite 3
scarecrow 2
schofield 19
scientist 2
scientists 2
secret 8
security 3
sending 1
sends 1
sensor 1
sent 1
sergeant 7
serial 3
service 6
seth 2
several 2
severe 1
severely 2
shane 2
she 2
shut 1
sinovirus 9
skilled 1
skin 1
so 2
soil 6
soldiers 1
son 1
soon 1
source 1
south 1
special 2
specific 1
squadron 25
staff 2
states 3
steal 1
stone 1
strike 1
subject 1
sublevels 1
survival 1
survive 1
survived 5
t 1
taken 1
target 1
tate 2
team 3
test 2
that 10
the 166
their 1
them 1
then 1
there 1
thermonuclear 2
these 1
they 5
this 1
threats 1
through 1
time 1
to 49
together 1
tom 2
transmitter 3
triggered 4
triggering 2
trying 3
two 7
type240 1
under 2
underground 1
unit 18
united 3
units 9
unleashes 1
up 1
urges 1
us 11
use 1
used 2
vaccine 7
vehicle 1
via 1
virus 1
visit 1
visiting 1
volunteers 1
warheads 3
warrant 1
was 44
way 2
ways 1
weapon 1
weapons 1
webster 2
wendall 1
were 2
when 2
where 1
which 2
while 4
white 1
who 11
will 3
willis 1
with 11
within 2
working 2
wounded 2
wu 1
x 1
x38 2
year 1
years 1
young 2
