11373666
/m/02r9bp8
/m/02r9bp8
Edwin Black
2001
{"/m/05h83": "Non-fiction"}
0 1
00 1
001 1
002 1
003 1
004 1
005 1
006 1
007 1
008 1
010 1
011 1
012 1
0owned 1
1 2
100000 1
110 2
12 1
1200 1
122123 1
124 1
13 5
131 1
133 6
135 1
14 1
141 1
143 1
17 2
18 1
180 1
1850134 1
186012 1
1874156 1
1880s 1
1884 1
2 1
20 1
20th 1
22 1
23 1
25000 1
34circumvent 1
34dehomag34 1
34law 1
34now 1
34secret 1
34soliciting 1
34tooling 1
34without 1
400000 2
41 1
5 2
60000 1
600000 1
65 1
7000000 1
750000 1
a 28
abandoned 2
about 2
abroad 1
abteilung 1
achieved 1
acronym 1
across 4
actively 2
activity 1
additionally 1
address 1
adolf 1
advent 1
after 1
afterdividends 1
aftertax 1
against 1
age 1
agreed 1
alliance 1
allowed 2
alphabetization 1
also 4
america 3
american 4
an 5
ancestors 1
ancestral 1
and 57
announced 1
annual 2
another 1
april 2
argues 1
arose 1
around 1
arrears 1
arrival 1
aryan 1
aryans 1
as 13
aside 1
asserts 1
assigned 2
assist 1
assumed 2
at 3
auschwitz 1
author 1
autocratic 1
automated 1
awarded 1
balance 1
bankruptcy 1
barely 2
basis 1
bavarian 1
be 9
became 2
become 1
been 1
began 1
begins 1
behind 1
berlin 1
best 1
between 4
bits 1
black 11
black3s 1
blitzkrieg 1
blood34 1
book 4
both 1
boycott 1
broad 1
buchenwald 1
budget 1
built 1
bulk 1
bureau 4
business 5
but 3
by 21
called 1
calls 1
came 1
camp 2
camps 3
capital 1
capitulation 1
card 1
cards 5
case 1
cash 1
census 22
century 1
chairman 2
changes 1
charges 2
charles 1
chief 2
chose 1
citizenship 1
city 1
clause 1
climate 1
code 1
coldblooded 1
commercial 1
commission 1
commonly 1
company 9
comparing 1
complete 1
computingtabulatingrecording 1
conceived 1
concentrate 1
concentrating 1
concentration 3
concept 1
conduct 1
conducted 3
conglomerate 1
conjunction 1
conscious 1
construct 1
contained 1
contest 1
continued 1
continuing 1
control 2
corporation 4
correctly 1
costly 1
could 5
counted 1
countenanced 1
counting 5
country3s 3
craving 1
created 1
creating 1
crosschecked 1
ctr 4
ctr3s 2
customer 1
customers 2
dachau 2
data 4
day 1
days 1
deal34 1
death 1
debt 1
decade 1
december 3
decision 1
deemed 1
dehomag 7
delivering 1
demanded 1
demonstrates 1
department 1
departure 1
deported 1
deprived 1
describes 2
design 1
despite 1
destroy 2
destruction 1
detail 1
details 1
determine 1
deutsche 1
device 1
did 2
direct 1
directly 2
disconsolate 1
documented 1
driving 1
duplicate 1
during 1
dwarfed 1
each 6
early 1
economic 1
edwin 1
effectively 1
efforts 2
emerged 1
emerging 2
employee 1
enabling 1
encouraged 1
energized 1
enhanced 1
enterprise 1
enthusiastic 1
equipment 1
established 2
estimate 1
estimated 1
estimates 1
ethnic 4
europe 3
every 1
examined 1
example 1
executive 1
expanded 2
eye 1
face 1
faced 1
factories 1
factory 1
families 1
few 1
figures 1
fill 1
filled 1
financial 1
financially 1
fingerprinted 1
first 2
fitness 1
flint 2
flossenbrg 1
followed 2
following 3
for 18
force 1
form 2
forms 1
from 8
full 1
fully 1
gained 1
gender 1
general 1
generated 2
generations 1
german 21
germany 9
germany3s 1
gesellschaft 1
ghettoized 1
government 3
greatly 2
grossrosen 1
group 1
groups 1
gypsies 2
had 3
half 1
hatred 1
have 1
having 1
he 2
head 2
headed 1
heidinger 4
help 1
herman 1
herzogenbusch 1
hide 2
himself 1
his 14
hitler 7
hitler3s 1
hollerith 14
holocaust 2
household 1
households 1
however 1
hyperinflation 1
ibm 13
ibm3s 5
idea 1
identification 4
identify 2
identifying 1
immediate 1
immediately 1
implementation 1
important 2
impossible 1
imprisoned 1
in 40
incoming 1
indeed 1
individual 3
individuals 1
industrialist 1
information 5
ingenuity 1
initially 1
injection 1
inmates 1
instrumental 1
intellectual 1
international 4
intertwined 1
interviews 1
intimately 1
invasion 2
invention 1
investment 2
involvement 2
ironic 1
isolate 1
isolation 1
it 5
its 17
j 2
january 1
jewish 6
jews 10
just 1
keeping 1
key 1
known 1
land 1
later 2
latter3s 1
leaking 1
legendary 1
licensed 1
licensee 3
licensees 1
lines 1
locate 1
located 1
longdelayed 1
loss 1
lucrative 1
machine 6
machinery 1
machines 5
machinetabulated 1
made 3
maintained 1
major 1
make 1
managed 1
mankind 1
march 1
mark 1
market 1
marrying 1
maschinen 1
massive 2
massively 1
matter 1
mauthausen 1
may 1
means 3
mechanism 1
medical 1
meticulous 1
million 8
millions 4
minority 1
more 1
most 2
munich 1
murdered 1
names 2
nation 2
national 7
nationality 1
nations 2
natzweiler 1
nazi 5
