4410079
/m/0c0rw0
/m/0c0rw0
Rex Stout
1934-09-17
a 5
aim 1
all 1
allied 1
although 1
american 1
an 3
apparent 1
army 1
attacked 1
book 1
business 1
but 1
by 1
call 1
combatants 1
concerns 1
coterie 1
counter 1
coup 1
crisis 1
demanded 1
detail 1
disappearance 3
early 1
end 1
european 1
even 1
facing 1
fairly 1
fascist 1
foreign 1
from 1
grey 1
handling 1
has 2
his 2
ii 1
impeachment 1
impending 2
in 2
industrialists 1
involve 1
is 3
it 1
kidnapping 1
like 1
military 1
mysterious 1
namely 1
near 1
no 1
none 1
not 1
now 1
of 8
over 1
own 1
perhaps 1
plot 1
political 1
president 3
ransom 1
revealed 1
seems 1
serious 1
shirts 1
similar 1
situation 1
small 1
stage 1
staged 2
states 2
territory 1
that 1
the 13
this 1
to 3
united 2
until 1
upstart 1
war 3
was 1
we 1
what 1
when 1
who 1
with 1
world 1
would 1
