3595656
/m/09nsr6
/m/09nsr6
Graham Edwards
1999-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1883 1
a 3
adventures 1
amara 2
american 1
and 8
annie 1
as 2
base 1
begins 1
blast 1
book 2
books 1
british 1
by 1
called 1
caught 1
civilisations 1
climb 1
companions 1
consisting 1
creatures 1
crumbling 1
dares 1
deeply 1
dragons 1
ends 1
entwined 1
eruption 1
fall 1
follows 1
fully 1
him 1
his 1
historian 1
in 3
infinite 1
into 1
is 4
it 1
its 4
jonah 2
knows 1
krakatoa 1
lightfoot 1
many 1
mysteries 1
naturalist 1
nature 1
no 2
of 5
one 2
or 2
our 1
own 1
place 1
populated 1
revealed 1
runaway 1
sea 1
second 1
seemingly 1
sentient 1
sequels 1
stone 1
the 10
this 1
throughout 1
to 3
top 1
transports 1
traverse 1
trilogy 1
true 1
uncover 1
vertical 1
wall 2
weird 1
well 1
west 1
where 1
who 1
with 1
world 4
