18578566
/m/04f_bzg
/m/04f_bzg

2009-01-13
{"/m/03mfnf": "Young adult literature"}
3 1
a 4
ama 3
an 1
and 3
as 5
attempts 1
attention 1
away 1
back 2
become 2
both 1
camp 1
can 1
characters 1
comes 1
could 1
cute 1
deal 1
dreams 1
during 1
end 2
find 1
follows 1
from 2
ghana 1
girl 1
girlfriend 1
glamorous 1
grandmother 1
growing 1
guy 1
has 1
having 1
her 7
his 1
hopes 1
however 1
important 1
in 4
is 3
issues 2
jo 3
job 1
kids 1
lands 1
life 1
like 1
lives 1
losing 1
met 1
model 1
more 1
most 1
mother 1
named 1
never 1
not 1
of 4
only 1
originally 1
out 1
outcast 1
outdoorsy 1
overshadow 1
parents 1
particularly 1
personal 1
polly 3
popular 2
quite 1
scholarship 1
separating 1
she 3
smart 1
stress 1
the 6
their 1
they 1
though 1
threaten 1
time 1
to 5
town 1
up 2
well 2
what 1
when 1
wilderness 1
willows 1
win 1
winning 1
with 4
wyoming 1
zach 2
