2629149
/m/07swdk
/m/07swdk
Michael Crichton
1968
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
160s 1
a 8
able 1
abortion 6
abortionist 1
abortions 1
about 1
accurate 1
accused 1
actual 1
actually 1
admit 1
african 1
africanamerican 1
after 3
aid 1
already 2
also 1
ambulance 1
american 1
amongst 1
an 9
and 11
are 1
arthur 1
as 1
attack 1
attacked 1
attacker 1
attempts 1
barriers 1
be 2
been 2
before 2
being 2
believes 1
berry 9
boston 1
botched 1
boyfriend 2
bribes 1
brought 1
but 2
by 2
california 1
can 1
captain 1
case 2
caso 1
cell 1
challenges 1
character 1
colleagues 1
commit 1
community 1
complicated 1
conclusion 1
confess 1
continue 1
continues 1
creating 1
crichton 1
culprit 1
curettage 1
days 1
dead 2
dealing 1
death 2
decides 1
despite 2
di 1
did 1
dilation 1
discovers 1
discovery 1
discussing 1
disguise 1
displeasure 1
doctor 1
dose 1
dr 2
drug 1
during 3
dynasty 1
ends 1
era 1
established 1
eventually 2
evidence 1
excruciatingly 1
fact 2
fall 1
family 1
fatal 1
father 1
for 1
forced 1
forces 1
frextrme 1
friend 2
friends 2
from 1
further 1
had 2
has 3
he 4
helped 1
helpful 1
her 2
hide 1
him 1
his 8
home 1
hospital 2
hostile 1
however 1
illegal 2
in 10
including 2
innocence 1
innocent 1
introduction 1
investigates 1
investigation 1
involvement 1
is 12
itin 1
itself 1
ja 1
jail 1
john 1
karen 7
knowledge 1
known 1
lasts 1
law 1
lawyer 1
led 1
lee 7
life 1
medical 5
medicine 1
mediocre 1
member 1
move 1
nalorphine 1
named 1
necessit 1
need 2
nla 1
nonetheless 1
notified 1
novel 1
obstetrician 1
obtain 1
of 15
old 1
one 1
opens 1
out 1
overcoming 1
painful 1
past 2
pathologist 1
patients 1
performed 2
performing 1
personal 1
persuaded 1
police 2
portrait 1
postscript 1
pregnant 1
previous 1
problems 1
profession 2
prominent 1
protagonist 2
prove 1
proven 1
provider 1
psychology 1
randall 3
reputation 1
requirements 1
reveal 1
ru 1
ruined 1
samples 1
scion 1
search 2
sent 1
sets 1
several 1
she 2
showing 1
situation 1
solid 1
states 1
story 1
subsequently 3
suicide 1
suspicious 1
that 6
the 30
then 1
this 1
though 1
threatened 1
three 1
time 1
to 15
tra 1
troubled 1
turning 1
ultimately 1
uncle 2
united 1
unscrupulous 1
urgence 1
vandals 1
various 2
visiting 1
was 1
water 1
well 1
wellestablished 1
were 1
what 1
when 1
which 1
who 2
wilson 2
with 4
woman 2
working 1
