6455676
/m/0g5_rz
/m/0g5_rz
Boris Akunin
2004-04
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel"}
1878 1
a 4
addled 1
all 2
along 1
among 1
an 3
ancient 1
and 4
are 1
aristocrat 1
army 1
artifact 1
badges 1
be 1
because 1
belonged 1
bludgeoned 1
boards 1
charge 1
children 1
clever 1
conclusions 1
detective 2
diplomat 2
down 1
each 1
end 1
english 1
erast 1
except 1
fandorin 1
find 1
firstclass 2
for 2
french 1
from 1
gauche 3
golden 2
gustave 1
himself 1
his 4
in 6
incorrect 1
indian 2
ineffectual 1
investigation 1
is 2
it 1
japan 1
japanese 1
knows 1
left 1
leviathan 1
littleby 4
lord 2
married 1
master 1
murder 1
murderer 2
must 1
new 1
novel 1
of 8
officer 1
old 1
on 2
one 2
opens 1
paris 1
passenger 1
passengers 2
poisoned 1
post 1
room 2
russian 1
servants 2
set 1
seven 1
shawl 1
ship 2
shiva 1
shoots 1
special 1
statuette 1
stolen 1
story 1
suspects 1
swiss 1
takes 1
that 1
the 15
to 3
two 1
was 3
way 1
were 1
which 1
who 2
with 3
woman 1
young 1
