5439414
/m/0dlzbd
/m/0dlzbd
Leslie Charteris
1943
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 5
actually 1
adventures 1
against 1
agents 1
aid 1
and 3
appear 1
are 1
as 1
be 4
been 1
before 1
behind 1
book 2
but 1
by 1
carrying 1
case 1
character 1
dc 1
differing 1
direct 1
drawn 1
efforts 1
enemy 1
enforcement 1
england 1
enlisting 1
father 1
fight 1
following 1
for 1
form 1
gangsters 1
goes 1
groups 1
has 2
his 1
in 7
instead 2
into 1
intrigue 1
invented 1
involving 1
is 3
it 1
law 1
long 1
made 1
miami 2
missions 1
most 1
new 1
note 1
novel 1
of 4
opinions 1
out 2
patriotic 1
place 1
previously 1
quiet 1
receives 1
reference 1
requests 1
reveals 1
row 1
rubber 1
saint 4
scenes 1
set 1
she 1
simon 1
soon 1
states 1
supported 1
synthetic 1
takes 1
templar 3
that 1
the 10
third 1
this 2
threatening 1
to 7
took 1
turns 1
united 1
unusually 1
war 1
warrelated 1
washington 1
web 1
west 1
what 2
when 1
whose 1
with 1
woman 1
working 1
young 1
