21882526
/m/05p495y
/m/05p495y
Rebecca Ore
1995
a 10
about 1
after 2
agentdonating 1
agents 1
aggressiveness 1
agrees 1
allison 2
also 1
alter 1
an 6
and 8
any 1
appearance 1
appropriate 1
are 1
around 1
arrive 1
as 1
ask 1
assignment 1
aware 1
back 1
be 1
become 3
bits 1
brain 3
but 2
by 1
can 3
capacity 1
captured 1
car 2
chase 2
close 1
combination 1
contact 1
cooperate 1
created 2
damage 1
damages 1
deems 1
delivers 1
determine 1
device 1
did 1
doesnt 2
dole 3
dorca 1
dorcas 3
each 1
ecoterrorist 1
environmental 1
explodes 1
falls 1
few 1
find 1
flashes 1
for 2
from 2
gene 1
government 4
group 1
had 1
has 2
have 1
he 4
hed 1
help 1
her 2
high 1
him 1
his 4
hours 1
house 1
hunsucker 1
if 1
images 1
in 4
increasing 1
information 1
initiative 1
intriguing 1
is 7
it 3
just 1
know 1
lab 1
large 1
low 1
mantis 2
mantises 1
memories 1
mistress 1
monthly 1
much 1
nanotechnological 1
nanotechnology 1
net 2
nuclear 1
of 7
oil 2
on 5
one 2
or 1
people 3
pheromes 1
pieces 1
popular 1
power 1
praying 1
purposes 1
rae 1
refinery 1
refining 1
remember 1
rescue 1
research 1
result 1
roanoke 1
robbed 1
senses 1
service 1
she 5
sly 1
so 2
soothes 1
southern 1
starting 1
sting 1
suffered 1
supervisor 1
taking 1
tech 1
technician 1
that 5
the 16
they 1
this 2
time 2
to 11
tracked 1
trip 1
undercover 1
unusually 1
us 1
use 1
uses 1
veteran 1
wants 1
war 1
wasp 1
whatever 1
when 2
where 1
while 1
who 1
whove 1
will 1
willie 3
with 3
world 1
