5135300
/m/0d4cmw
/m/0d4cmw
James Bassett
1962
a 19
aboard 2
about 1
admiral 3
alert 1
all 1
an 6
and 12
announces 1
another 1
anyway 1
approach 1
are 1
area 3
around 1
arrives 1
as 3
assembled 1
assigned 3
at 3
attack 3
attempts 1
attention 1
b17 1
back 1
base 1
battle 4
battleship 1
because 2
before 2
behind 1
believing 1
board 1
bombers 1
briefly 1
build 1
but 1
by 3
ca25 1
called 1
can 1
captain 3
care 1
cassiday 2
catches 1
central 1
channel 1
charges 1
chester 1
cincpac 1
city 1
coast 1
comes 1
command 5
commander 3
commanding 2
control 1
could 1
course 1
courtmartial 1
cruiser 2
day 1
depth 1
destroyer 1
dinner 1
douglas 1
drifts 1
drive 1
during 2
eddington 1
efforts 1
egan 1
end 2
enemy 2
enough 1
ernest 1
eventually 2
exec 1
executive 1
exercises 1
face 1
faces 1
failure 1
falling 1
far 1
fire 1
for 3
forces 1
free 1
french 1
from 2
fuel 1
gavabutu 2
general 2
german 1
get 1
go 1
good 1
grade 1
ground 1
group 4
had 1
half 1
halt 1
harbor 5
has 3
have 1
having 1
hawaiian 1
haynes 2
hayneswho 1
he 6
headquartered 1
heavy 2
highly 1
him 5
his 19
hits 1
hospital 1
house 1
hundred 1
immediately 2
in 8
include 1
inept 1
informs 1
initially 1
inquiry 1
interrupted 1
into 2
invited 1
is 9
island 3
islands 2
its 1
japanese 4
joins 1
juniot 1
king 1
knocks 1
known 1
lake 1
landing 1
lands 1
large 1
largely 1
last 1
lead 1
leads 1
learns 1
leaving 1
less 1
levuvana 3
lieutenant 2
long 1
lost 1
lover 1
lower 1
mac 1
macarthur 1
maggie 3
makes 3
materiel 1
mcconnell 2
mesquite 1
micromanagement 1
midway 1
miles 1
ministrations 1
mission 2
more 1
most 1
much 1
named 1
naval 1
navy 3
near 1
next 1
nimitz 4
no 2
not 1
nurse 1
obvious 1
of 21
off 2
officer 3
officers 1
old 4
on 8
only 2
operation 4
ordered 1
orders 1
out 1
pacific 4
pair 1
paul 1
pearl 3
personal 1
personally 1
plain 1
planning 2
points 1
position 1
post 1
powell 1
praised 1
prepares 1
presents 1
preserved 1
presses 1
prized 1
purpose 1
razors 1
rear 1
reference 1
regular 1
relieved 1
repeated 1
rescuers 1
returned 1
rockwell 1
romance 2
roommate 1
row 1
running 1
runways 1
sacrificed 1
salt 1
scatter 1
scene 1
scores 1
scratch 1
seekoutanddestroy 1
seize 1
sending 1
set 2
sevenblade 1
shallower 1
shave 1
ship 3
ships 2
sink 1
sinks 1
solomon 1
soughtafter 1
staff 1
stars 1
states 1
stay 1
steer 1
straight 2
strategic 1
strikes 1
string 1
sub 2
submits 1
succeeds 1
success 1
support 1
sure 1
swayback 2
take 2
takes 1
taking 1
target 1
task 2
than 1
that 11
the 37
theater 4
their 1
them 2
they 1
this 2
three 1
tied 1
to 24
tonnage 1
torpedo 1
torrey 16
toulebonne 2
turns 1
two 1
unawares 1
unconscious 1
under 1
united 1
unrewarding 1
until 1
up 2
using 1
usnr 1
uss 2
various 1
vulnerable 1
wakes 1
want 1
was 1
west 1
when 3
where 2
which 2
will 1
william 1
with 4
worn 1
wreckage 1
