931065
/m/03r24m
/m/03r24m
John Grisham
2002
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/01z4y": "Comedy"}
600 1
6100 1
a 16
aboard 1
accepts 1
across 1
adjust 1
admit 1
after 3
agrees 1
airport 2
alienated 1
all 1
along 1
amazement 1
and 21
angered 1
annual 1
anxious 1
anxiously 1
are 5
area 1
arranges 1
arrest 1
arrival 1
arrived 1
as 3
asks 1
assignment 1
at 5
attempts 1
avoid 1
await 1
bad 1
barely 2
be 3
because 2
before 2
begin 1
bemoans 1
best 1
blair 5
block 1
booking 1
borrow 1
boy 2
boycott 1
bring 1
busy 1
but 4
buy 1
buying 1
by 3
calculate 1
calendar 1
calls 2
can 2
cards 1
caribbean 1
celebrating 2
celebration 1
chaos 1
children 1
christmas 12
church 1
comic 1
condition 1
coordinate 1
corps 1
couple 2
coveted 1
cruise 2
daughter 2
day 1
death 1
decides 1
decision 2
decline 1
decorate 2
decorated 1
decoration 1
decorations 1
departs 1
departure 1
derision 1
disease 1
dismay 1
dismayed 1
doesnt 2
donation 1
during 1
en 1
end 1
engraved 1
enrique 1
ensues 1
entertaining 1
escape 1
escapes 1
eve 2
every 1
everyone 1
expecting 1
experienced 1
fact 1
fails 1
family 3
fianc 1
fiance 1
find 2
finds 1
first 3
focus 1
for 6
frenzy 1
frohmeyer 1
frosty 1
fruitcake 1
fruitcakes 1
future 1
get 2
gifts 1
give 1
gives 2
greeting 1
has 1
have 2
having 2
he 6
hemlock 1
her 5
his 2
holiday 3
holidays 2
home 3
hospital 1
host 1
hours 1
house 1
how 2
hubbub 1
husband 1
idea 3
if 1
in 4
international 1
introduce 1
invested 1
is 6
island 1
it 2
jeopardize 1
keeping 1
krank 1
kranks 2
leaving 2
little 1
local 1
long 1
loses 1
luther 9
may 1
mere 1
miami 1
much 2
neighbor 2
neighborhood 1
neighbors 2
night 1
no 3
nora 7
not 2
notice 1
noticing 1
object 1
objects 1
of 7
on 6
one 1
order 1
otherwise 1
out 1
package 1
panicked 1
parents 1
party 5
peace 1
peru 1
peruvian 1
phone 1
plan 1
police 2
possible 1
princess 1
prior 1
prize 1
prompting 1
provide 1
pull 1
purchasing 1
realizes 1
refuse 1
refuses 2
remote 1
rescued 1
roof 1
route 1
salesmen 1
saying 1
says 1
scene 1
scout 1
scouts 1
separated 1
set 1
she 6
shocked 1
shopping 1
show 1
skeptical 1
skip 1
snowman 1
so 1
sold 1
son 1
soninlaw 1
spare 1
spent 1
spike 1
started 2
stationer 1
stealing 1
still 1
story 1
street 2
strongly 1
successfully 1
sunday 1
support 1
surprise 2
take 1
tell 1
tenday 1
terminal 1
thanksgiving 1
that 3
the 47
their 11
them 2
themselves 2
they 9
theyre 1
theyve 1
think 1
this 1
time 1
to 29
together 1
traditionally 1
traditions 1
transport 1
tree 4
trees 1
trip 1
troop 1
truth 1
try 2
trying 1
two 1
under 1
up 1
upcoming 1
upset 1
usual 1
very 2
vic 1
warning 1
well 1
when 7
where 1
who 3
wife 1
will 3
winning 1
with 4
without 1
year 3
yearlong 1
yes 1
