28080684
/m/0cmdr49
/m/0cmdr49
Gustav Hasford
1992
a 3
about 1
after 1
aging 1
alcoholism 1
an 1
and 5
at 1
attractive 1
brief 1
but 1
culprits 1
day 1
dealers 1
door 1
dowdy 1
drug 1
dying 1
embarks 1
falls 1
family 1
find 1
finds 1
from 1
happened 1
he 2
his 3
hollywood 2
however 1
in 3
investigator 1
involving 1
jr 1
lablaine 2
lewis 2
love 1
meets 1
mobsters 1
moguls 1
murdered 1
on 2
one 1
order 1
outcast 1
own 1
passionate 1
private 1
prominent 1
quest 1
rapid 1
redheaded 1
revenge 1
romance 1
struggles 1
take 1
the 3
then 1
time 1
to 2
truth 1
veteran 1
vietnam 2
war 1
what 1
with 1
yvonna 1
