23848373
/m/06_wclt
/m/06_wclt
Ryu Murakami
2009
a 7
about 2
abuse 1
accident 1
after 1
all 1
an 1
and 1
anyone 1
aoyama 6
apply 1
as 1
asami 3
audition 1
auditions 1
ballerina 1
be 2
beautiful 1
becoming 1
believes 1
best 1
breakout 1
but 1
by 4
child 1
comes 1
consistent 1
crippled 1
cut 1
dated 1
dates 1
day 1
death 1
despite 1
discovers 1
documentary 1
dreaming 1
dreams 1
existence 1
eyes 1
fake 1
falling 1
film 1
for 3
friend 1
girl 1
girlfriend 1
given 1
has 1
hasnt 1
he 4
her 5
him 1
his 4
hold 1
horrifying 1
ignores 1
imagines 1
in 1
included 1
infatuated 1
instigates 1
is 6
it 2
late 1
learning 1
lives 1
looking 1
love 1
maker 1
may 1
modest 1
new 1
not 1
of 4
one 1
only 3
past 1
perfect 1
placid 1
plan 1
possibly 1
remarrying 1
role 1
ryoko 1
seeing 1
seems 1
several 1
she 1
shige 1
short 1
shy 1
since 1
son 1
stepfather 1
teenage 1
that 3
the 6
thousands 1
to 2
too 1
troubled 1
truth 1
up 1
warnings 1
were 1
when 1
which 1
who 2
whose 1
wife 1
with 4
woman 1
women 1
yamasaki 2
yoshikawa 2
young 2
