16551467
/m/03y9p3p
/m/03y9p3p
Ted Chiang
2007-07
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
abbas 1
alchemy 1
allow 1
ancient 1
and 4
another 1
arch 1
as 1
associate 1
back 1
baghdad 1
begins 1
black 1
business 1
by 1
cairo 1
city 1
conversation 1
discover 1
earlier 1
even 1
fabric 1
follows 1
for 1
future 2
fuwaad 4
gate 2
gateway 1
gift 1
give 1
happens 1
has 2
have 2
he 3
him 1
ibn 1
in 3
interesting 1
into 3
intrigued 1
invites 1
is 2
it 1
items 1
journey 1
keeper 1
learns 1
made 2
makes 2
marketplace 1
meet 1
merchant 1
mistake 1
mysterious 1
new 1
of 4
others 1
owner 3
past 1
people 1
rectify 1
searching 1
see 1
sells 1
selves 1
serves 1
shop 5
stone 1
stories 1
story 1
tells 1
that 2
the 13
their 1
there 1
three 1
through 1
to 7
travel 1
traveled 1
try 1
twenty 1
use 1
variety 1
very 1
when 2
which 2
who 2
will 1
with 1
workshop 1
years 1
