15967269
/m/03qjhcb
/m/03qjhcb
Victor Appleton
1910
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
2 1
300000 2
50000 1
a 17
aboard 1
acting 1
advance 8
after 2
aground 1
ahead 1
an 2
and 21
are 7
arrives 1
as 4
at 7
attack 1
away 1
bank 2
battleship 3
be 2
been 1
before 2
beginning 1
begins 1
behind 1
biggest 1
board 1
boldero 2
book 1
brazil 1
brazilian 3
break 1
bring 1
bullion 1
busy 1
but 2
by 3
cannons 1
captain 4
captured 1
certain 1
chores 1
chum 1
coast 2
compartment 1
competing 1
confronted 1
considers 1
consists 1
contest 2
contestant 1
cook 1
cover 1
crew 7
damaged 1
damon 2
days 1
deposit 1
depth 1
diligently 1
disable 1
diving 2
down 1
during 2
each 1
embark 1
engine 1
enter 2
escape 4
executed 1
execution 1
extremedepth 1
father 4
find 1
first 1
follow 1
following 1
for 3
forces 1
fought 1
found 1
friends 1
from 5
gold 3
government 4
group 1
has 1
he 2
heavy 1
held 1
her 1
hired 1
his 7
hold 1
hoping 1
hurricane 1
immobile 1
in 10
including 1
investors 1
is 7
island 1
it 3
its 1
jersey 1
journey 1
just 2
knows 1
last 1
later 1
launch 1
leaving 1
lifeboat 1
local 1
location 1
long 1
manages 1
merely 1
milessimilar 1
mishap 1
moment 1
mr 3
named 3
ned 1
new 2
newspaper 1
newton 1
night 2
not 2
nowarriving 1
of 13
off 4
on 3
one 1
opportunity 2
opposed 1
other 1
out 1
over 2
overheard 1
paulo 3
persuades 1
picking 1
plans 2
power 1
prisoners 1
prize 2
project 1
promotion 1
pursue 1
push 1
pushed 1
ram 1
reads 1
recovered 1
resupply 1
reveals 1
rivalry 1
rms 1
safe 1
sank 1
save 1
scheduled 1
sea 1
secret 2
seems 1
seize 1
sets 1
sharks 1
sharp 1
shield 1
ship 3
shopton 1
slip 1
so 3
soon 3
steal 1
storm 1
strikes 1
struggle 1
submarine 5
submarines 1
successful 1
successfully 1
suits 1
sum 1
surface 1
swift 2
take 4
taking 1
that 2
the 58
their 4
these 1
they 3
this 3
time 2
titanic 1
to 24
tom 17
treasure 3
tries 2
trying 1
turned 1
two 1
underwater 1
up 2
uruguay 1
using 1
voyage 1
was 1
waters 1
waves 1
west 2
where 2
which 3
while 3
who 1
winds 2
with 4
wonder 6
working 1
wreck 3
