14166176
/m/03cwml7
/m/03cwml7
Mark Mills
2005-01-03
{"/m/0lsxr": "Crime Fiction"}
300 1
a 6
accident 1
after 1
amagansett 1
and 3
apart 1
apparent 1
appears 1
are 1
area 1
arrived 1
attempt 1
basque 1
been 2
body 1
both 1
but 1
by 1
changed 1
closeknit 1
colleague 1
community 1
conrad 1
corruption 1
death 3
detective 1
discovery 1
divorced 1
drawn 1
earlier 1
europe 1
even 1
expose 1
eye 1
first 1
fisherman 1
former 1
foul 1
french 1
from 1
generation 1
has 1
have 3
his 1
hollis 1
in 3
investigate 1
is 1
it 2
labarde 2
lillian 2
little 1
local 1
may 1
meets 1
more 1
named 1
new 2
of 4
own 1
play 1
police 1
posted 1
reasons 1
recently 2
result 1
resulted 1
returned 1
second 1
separate 1
settlers 1
shatters 1
since 1
socialite 1
some 1
stability 1
suspect 1
tear 1
than 1
that 2
the 11
their 1
there 2
they 1
though 1
threatens 1
to 7
tom 1
tragic 1
wallace 1
war 1
years 1
york 2
