1752935
/m/05t6vq
/m/05t6vq
Hermann Hesse
1910
{"/m/014dfn": "Speculative fiction"}
a 1
adult 1
and 4
are 1
artists 1
as 2
basis 1
before 2
befriended 1
but 1
childhood 1
comes 1
composer 2
destructive 1
drawn 1
encounter 1
eponymous 1
falls 1
famous 1
first 1
for 1
gertrud 3
heart 1
heinrich 1
his 2
hopelessly 1
illmatched 1
imthor 1
in 1
is 1
it 1
kuhn 3
love 1
magnum 1
marries 1
memoir 1
muoth 2
named 1
of 3
opera 1
opus 1
provides 1
relationship 1
relationships 1
she 1
singer 1
some 1
story 1
styled 1
tells 1
the 8
their 2
to 3
troubled 1
two 2
upon 1
well 1
whom 1
with 1
years 2
young 1
