27278020
/m/0bwljvn
/m/0bwljvn
Dave Martin

2006 1
2056 1
actually 1
adventure 1
adventures 1
although 1
an 1
and 9
appears 1
arch 1
armageddon 1
as 3
assumed 1
at 2
but 1
by 2
century 1
chronology 1
company 1
concerned 1
covers 1
destroyed 1
doctor 5
doctors 1
drax 2
encountered 1
enemy 1
episode 1
events 1
factor 1
far 1
featured 4
first 1
five 1
friends 1
from 1
gave 1
hand 1
he 1
help 1
however 1
in 9
initially 1
is 5
it 4
iv 1
jane 2
join 1
k 6
latest 1
mark 1
marks 1
mid21st 1
model 2
now 1
of 3
old 1
omega 2
one 1
open 1
place 1
published 1
returns 1
reunion 1
same 1
sarah 2
school 1
sixth 1
space 1
stasis 1
story 2
suggest 1
takes 1
that 4
the 20
this 1
through 1
time 2
toroidal 1
trapped 1
version 2
was 5
which 2
who 1
year 1
you 1
