3725127
/m/09xdxw
/m/09xdxw
Nancy Holder
2003-05-01
1888 1
a 3
all 1
alliance 2
an 1
and 3
are 1
arise 1
army 1
as 2
at 1
battle 1
casualties 1
citizen 1
come 1
cover 1
current 1
day 1
demon 1
desires 1
does 1
fails 1
fog 2
form 1
has 1
hates 1
he 3
heavy 1
human 2
in 1
is 4
it 1
jack 3
kill 1
learned 1
madman 1
modern 1
more 1
mystical 1
neutralized 1
not 1
of 3
plans 1
prostitutemurdering 1
race 1
rampages 1
ripper 1
slayer 1
soon 1
spike 1
streets 1
sunnydale 2
survives 1
the 9
there 1
threat 1
through 1
to 4
unfortunately 1
used 1
using 1
which 2
